gid,cctv,light,log_pa,ep,fp,yp,nb
дь_60ab29ba,-0.5,-0.5,1.717574571,-0.311512415,-0.322807018,-0.323076923,9
дь_60ab29bb,-0.5,-0.5,1.784063263,-0.343115124,-0.341052632,-0.323076923,1
дь_60ab32bb,-0.5,-0.5,1.0595249,-0.343115124,-0.341052632,-0.323076923,7
дь_60ba29ab,-0.5,-0.5,1.717574571,-0.343115124,-0.341052632,-0.323076923,1
дь_60ba32ba,-0.5,-0.5,1.716317274,-0.248306998,-0.263859649,-0.323076923,3
дь_60ba32bb,-0.5,-0.5,0.762673243,-0.343115124,-0.328421053,-0.323076923,2
дь_60bb29aa,0,0,1.662978679,-0.343115124,-0.341052632,-0.323076923,2
дь_60bb29ab,0,0,1.558775998,-0.221218962,-0.248421053,-0.253846154,5
дь_60bb32ab,-0.5,-0.5,1.716317274,-0.343115124,-0.341052632,-0.323076923,1
дь_60bb32ba,-0.5,-0.5,1.716317274,0.076749436,0.014035088,0.069230769,8
дь_60bb32bb,-0.5,-0.5,2.281872051,-0.288939052,-0.18245614,-0.061538462,0
дь_61aa29aa,-0.5,-0.5,1.662978679,-0.343115124,-0.341052632,-0.323076923,3
дь_61aa29ab,-0.5,-0.5,1.558775998,-0.343115124,-0.311578947,-0.246153846,4
дь_61aa30bb,-0.5,-0.5,1.463255402,-0.343115124,-0.341052632,-0.323076923,3
дь_61aa32ab,-0.5,-0.5,0.408792898,-0.343115124,-0.341052632,-0.323076923,1
дь_61aa32ba,0,0,0.408792898,-0.0496614,-0.028070175,-0.015384615,3
дь_61aa32bb,-0.5,-0.5,0.408792898,-0.216704289,-0.188070175,-0.146153846,0
дь_61ab32ab,0,0,0.408792898,-0.180586907,0.067368421,0.338461538,0
дь_61ab32ba,2.5,2.5,0.408792898,-0.279909707,-0.247017544,-0.207692308,0
дь_61ab32bb,0,0,0.408792898,-0.139954853,-0.105263158,0.023076923,0
дь_61ba29aa,-0.5,-0.5,1.428635202,-0.343115124,-0.341052632,-0.323076923,2
дь_61ba32ab,0.5,0.5,0.408792898,-0.30248307,-0.220350877,-0.123076923,0
дь_61ba32ba,4,4,0.629141851,-0.216704289,-0.179649123,-0.038461538,0
дь_61ba32bb,0,0,0.629141851,-0.230248307,-0.186666667,-0.1,0
дь_61ba36ab,-0.5,-0.5,1.675600115,-0.297968397,-0.317192982,-0.323076923,9
дь_61bb31bb,-0.5,-0.5,0.332177312,-0.248306998,-0.230175439,-0.215384615,0
дь_61bb32ab,1.5,1.5,2.035097728,-0.207674944,-0.070175439,0.330769231,0
дь_61bb32ba,3.5,3.5,0.629141851,-0.022573363,0.092631579,0.492307692,0
дь_61bb32bb,-0.5,-0.5,0.629141851,-0.176072235,-0.202105263,-0.123076923,0
дь_61bb36ab,-0.5,-0.5,1.490654376,-0.121896163,-0.234385965,-0.323076923,11
дь_61bb36ba,-0.5,-0.5,1.490654376,-0.221218962,-0.252631579,-0.323076923,9
дь_62aa31ba,0.5,0.5,0.332177312,-0.176072235,-0.200701754,-0.192307692,0
дь_62aa31bb,-0.5,-0.5,0.332177312,1.205417607,1.037192982,1.407692308,0
дь_62aa32aa,2,2,0.037295785,0.681715576,0.919298246,1.807692308,0
дь_62aa32ab,1.5,1.5,-0.644357016,0.501128668,0.696140351,1.1,0
дь_62aa32ba,0.5,0.5,0.629141851,0.18510158,0.398596491,0.976923077,0
дь_62aa32bb,1.5,1.5,2.900102043,-0.004514673,0.38877193,1.107692308,0
дь_62aa33bb,-0.5,-0.5,1.15750993,-0.343115124,-0.341052632,-0.323076923,1
дь_62aa34ab,-0.5,-0.5,1.682316558,-0.343115124,-0.341052632,-0.323076923,5
дь_62aa36ab,0,0,1.490654376,-0.279909707,-0.291929825,-0.323076923,6
дь_62aa36ba,0.5,0.5,1.490654376,-0.243792325,-0.280701754,-0.323076923,9
дь_62aa36bb,0.5,0.5,1.419003536,-0.316027088,-0.324210526,-0.323076923,10
дь_62aa37aa,-0.5,-0.5,1.446448284,-0.266365688,-0.296140351,-0.269230769,1
дь_62ab28ab,-0.5,-0.5,1.532124809,-0.316027088,-0.33122807,-0.323076923,2
дь_62ab30ab,-0.5,-0.5,1.125578737,-0.343115124,-0.327017544,-0.323076923,0
дь_62ab30ba,-0.5,-0.5,1.116779593,-0.311512415,-0.324210526,-0.323076923,1
дь_62ab31ba,-0.5,-0.5,0.332177312,0.081264108,-0.019649123,0.038461538,0
дь_62ab31bb,0,0,-0.114289146,0.130925508,0.015438596,0.169230769,0
дь_62ab32aa,0.5,0.5,-0.114289146,0.207674944,0.401403509,0.846153846,0
дь_62ab32ab,0,0,-0.114289146,0.374717833,0.593684211,1.292307692,0
дь_62ab32ba,1.5,1.5,-0.644357016,0.306997743,0.610526316,1.246153846,0
дь_62ab32bb,1.5,1.5,2.900102043,0.018058691,0.175438596,0.292307692,0
дь_62ab33bb,-0.5,-0.5,1.15750993,-0.343115124,-0.341052632,-0.323076923,0
дь_62ab34ab,-0.5,-0.5,1.652497402,-0.343115124,-0.341052632,-0.323076923,4
дь_62ab35ba,-0.5,-0.5,1.585759785,-0.343115124,-0.341052632,-0.323076923,0
дь_62ab35bb,-0.5,-0.5,1.585759785,-0.343115124,-0.341052632,-0.323076923,1
дь_62ab36ab,-0.5,-0.5,1.898668785,-0.343115124,-0.341052632,-0.323076923,0
дь_62ab36bb,-0.5,-0.5,1.419003536,-0.343115124,-0.341052632,-0.323076923,5
дь_62ab37aa,-0.5,-0.5,1.446448284,-0.257336343,-0.29754386,-0.323076923,12
дь_62ba28ab,-0.5,-0.5,1.695615609,-0.343115124,-0.341052632,-0.323076923,1
дь_62ba30ab,-0.5,-0.5,1.08146613,-0.343115124,-0.341052632,-0.323076923,0
дь_62ba30ba,-0.5,-0.5,1.116779593,-0.279909707,-0.317192982,-0.323076923,0
дь_62ba30bb,-0.5,-0.5,1.116779593,-0.343115124,-0.325614035,-0.323076923,0
дь_62ba31aa,-0.5,-0.5,1.116779593,-0.297968397,-0.32,-0.323076923,2
дь_62ba32ab,2,2,-0.114289146,-0.198645598,-0.05754386,0.361538462,0
дь_62ba32ba,5,5,-0.644357016,0.022573363,0.028070175,0.053846154,0
дь_62ba32bb,5,5,2.900102043,0.112866817,0.065964912,0.053846154,0
дь_62ba33aa,1.5,1.5,2.900102043,-0.225733634,-0.255438596,-0.230769231,0
дь_62ba34ba,-0.5,-0.5,1.652497402,-0.343115124,-0.341052632,-0.323076923,1
дь_62ba35ab,-0.5,-0.5,1.585759785,-0.279909707,-0.286315789,-0.323076923,3
дь_62ba35ba,0,0,1.585759785,-0.270880361,-0.311578947,-0.323076923,6
дь_62ba35bb,-0.5,-0.5,1.585759785,-0.343115124,-0.341052632,-0.323076923,1
дь_62bb28aa,-0.5,-0.5,1.058484498,-0.306997743,-0.321403509,-0.323076923,9
дь_62bb28ab,-0.5,-0.5,1.029262211,-0.343115124,-0.341052632,-0.323076923,2
дь_62bb28bb,0,0,1.185401419,-0.343115124,-0.33122807,-0.323076923,4
дь_62bb29aa,-0.5,-0.5,1.185401419,-0.306997743,-0.324210526,-0.323076923,3
дь_62bb31ba,-0.5,-0.5,1.257892646,-0.343115124,-0.33122807,-0.323076923,0
дь_62bb32aa,0,0,0.166361537,-0.343115124,-0.341052632,-0.323076923,0
дь_62bb32ab,1.5,1.5,0.166361537,-0.189616253,-0.056140351,0.061538462,0
дь_62bb32ba,2.5,2.5,-1.224175512,-0.162528217,-0.095438596,-0.007692308,0
дь_62bb32bb,1.5,1.5,-0.634878272,-0.270880361,-0.258245614,-0.261538462,0
дь_62bb33aa,-0.5,-0.5,1.686398954,-0.306997743,-0.314385965,-0.323076923,0
дь_62bb34aa,-0.5,-0.5,1.40585186,-0.343115124,-0.341052632,-0.323076923,1
дь_62bb34ab,-0.5,-0.5,1.40585186,-0.343115124,-0.341052632,-0.323076923,0
дь_62bb35ab,0,0,1.585759785,-0.306997743,-0.311578947,-0.323076923,5
дь_62bb35ba,-0.5,-0.5,1.585759785,-0.343115124,-0.332631579,-0.323076923,1
дь_62bb36bb,-0.5,-0.5,1.198457624,-0.343115124,-0.341052632,-0.323076923,1
дь_63aa28aa,-0.5,-0.5,1.058484498,-0.343115124,-0.341052632,-0.323076923,1
дь_63aa28ab,-0.5,-0.5,1.029262211,-0.343115124,-0.332631579,-0.323076923,0
дь_63aa28ba,-0.5,-0.5,1.125903149,-0.343115124,-0.329824561,-0.323076923,1
дь_63aa28bb,-0.5,-0.5,1.125903149,-0.343115124,-0.341052632,-0.323076923,1
дь_63aa32aa,0.5,0.5,0.166361537,-0.306997743,-0.294736842,-0.323076923,0
дь_63aa32ab,5,5,0.166361537,-0.099322799,-0.033684211,0.246153846,0
дь_63aa32ba,3,3,-0.740238788,-0.239277652,-0.199298246,-0.176923077,0
дь_63aa32bb,-0.5,-0.5,-0.634878272,-0.284424379,-0.283508772,-0.223076923,0
дь_63aa34aa,0,0,1.40585186,-0.343115124,-0.341052632,-0.323076923,9
дь_63aa37ab,-0.5,-0.5,0.544647172,-0.203160271,-0.254035088,-0.253846154,15
дь_63ab28ab,-0.5,-0.5,1.029262211,-0.343115124,-0.33122807,-0.323076923,4
дь_63ab31ba,-0.5,-0.5,1.257892646,-0.343115124,-0.328421053,-0.323076923,0
дь_63ab31bb,-0.5,-0.5,0.166361537,-0.18510158,-0.234385965,-0.169230769,0
дь_63ab32aa,0,0,0.166361537,0.347629797,1.009122807,2.153846154,0
дь_63ab32ab,0.5,0.5,0.166361537,0.148984199,0.383157895,0.646153846,0
дь_63ab32ba,0,0,-0.740238788,0.112866817,0.22877193,0.353846154,0
дь_63ab34ab,-0.5,-0.5,1.23051736,-0.343115124,-0.341052632,-0.323076923,0
дь_63ab34ba,-0.5,-0.5,1.23051736,-0.343115124,-0.341052632,-0.323076923,21
дь_63ab34bb,0,0,1.412205743,-0.343115124,-0.341052632,-0.323076923,1
дь_63ab37ab,0.5,0.5,0.544647172,-0.293453725,-0.294736842,-0.323076923,5
дь_63ba29ba,-0.5,-0.5,1.570281197,-0.343115124,-0.341052632,-0.323076923,0
дь_63ba31ba,-0.5,-0.5,0.771033719,-0.297968397,-0.314385965,-0.276923077,2
дь_63ba31bb,0,0,1.106911091,-0.343115124,-0.341052632,-0.323076923,0
дь_63ba32aa,-0.5,-0.5,0.463734016,0.812641084,1.557894737,3.230769231,0
дь_63ba32ab,1,1,0.290428298,-0.343115124,-0.293333333,-0.323076923,0
дь_63ba32ba,2,2,0.290428298,-0.194130926,-0.17122807,-0.176923077,0
дь_63ba33bb,-0.5,-0.5,0.919485623,-0.248306998,-0.259649123,-0.238461538,0
дь_63ba34ab,-0.5,-0.5,1.23051736,-0.343115124,-0.341052632,-0.323076923,3
дь_63ba34ba,-0.5,-0.5,1.23051736,-0.343115124,-0.341052632,-0.323076923,3
дь_63ba37aa,-0.5,-0.5,0.544647172,-0.343115124,-0.332631579,-0.323076923,5
дь_63ba37ab,-0.5,-0.5,0.544647172,-0.343115124,-0.341052632,-0.323076923,2
дь_63bb27bb,-0.5,-0.5,1.037091432,-0.343115124,-0.341052632,-0.323076923,1
дь_63bb29ab,-0.5,-0.5,1.252762968,-0.343115124,-0.341052632,-0.323076923,0
дь_63bb29ba,-0.5,-0.5,1.451613827,-0.343115124,-0.341052632,-0.323076923,0
дь_63bb30aa,0,0,1.391530628,-0.036117381,-0.190877193,-0.246153846,11
дь_63bb30ab,-0.5,-0.5,1.391530628,-0.176072235,-0.258245614,-0.323076923,7
дь_63bb31ba,-0.5,-0.5,0.771033719,-0.311512415,-0.325614035,-0.323076923,3
дь_63bb32aa,0.5,0.5,0.071389996,0.523702032,1.052631579,2.876923077,0
дь_63bb32ab,4.5,4.5,0.290428298,-0.343115124,-0.341052632,-0.323076923,0
дь_63bb33aa,-0.5,-0.5,0.828988403,-0.343115124,-0.341052632,-0.323076923,0
дь_63bb33ab,1,1,0.828988403,0.23476298,0.06877193,0.238461538,0
дь_63bb33ba,0.5,0.5,0.828988403,0.176072235,-0.007017544,0.138461538,0
дь_63bb33bb,0,0,1.329988525,-0.085778781,-0.082807018,0.030769231,0
дь_63bb34ba,-0.5,-0.5,1.23051736,-0.297968397,-0.321403509,-0.323076923,4
дь_63bb36ba,-0.5,-0.5,0.372941916,-0.343115124,-0.341052632,-0.323076923,1
дь_64aa28bb,-0.5,-0.5,0.870874868,-0.275395034,-0.324210526,-0.323076923,0
дь_64aa29ab,-0.5,-0.5,1.252762968,-0.343115124,-0.324210526,-0.323076923,6
дь_64aa29ba,-0.5,-0.5,1.451613827,-0.343115124,-0.33122807,-0.323076923,0
дь_64aa30aa,0,0,1.391530628,-0.239277652,-0.247017544,-0.261538462,7
дь_64aa30ab,-0.5,-0.5,1.391530628,-0.266365688,-0.293333333,-0.323076923,2
дь_64aa31ab,-0.5,-0.5,1.185401419,-0.343115124,-0.341052632,-0.323076923,0
дь_64aa31ba,-0.5,-0.5,1.085864716,-0.343115124,-0.341052632,-0.323076923,4
дь_64aa32aa,0,0,0.768718367,-0.121896163,0.522105263,2.384615385,0
дь_64aa32ab,0.5,0.5,0.835514422,0.25282167,0.846315789,2.369230769,0
дь_64aa32bb,-0.5,-0.5,1.046968056,-0.198645598,-0.192280702,-0.069230769,0
дь_64aa33aa,-0.5,-0.5,0.828988403,0.18510158,0.179649123,0.476923077,0
дь_64aa33ab,0.5,0.5,0.828988403,0.501128668,0.630175439,1.615384615,0
дь_64aa33ba,2,2,1.907169321,-0.094808126,-0.044912281,0.092307692,0
дь_64aa33bb,7,7,1.907169321,-0.261851016,-0.168421053,-0.069230769,0
дь_64aa34ab,-0.5,-0.5,1.329988525,-0.343115124,-0.341052632,-0.323076923,3
дь_64aa36ab,-0.5,-0.5,-0.644357016,-0.343115124,-0.341052632,-0.323076923,1
дь_64aa36ba,-0.5,-0.5,-0.644357016,-0.036117381,0.211929825,0.553846154,0
дь_64aa36bb,-0.5,-0.5,0.373630385,0.30248307,0.760701754,2.546153846,0
дь_64aa37ba,0,0,0.601579987,-0.279909707,-0.322807018,-0.323076923,1
дь_64aa38bb,-0.5,-0.5,1.279265788,-0.343115124,-0.341052632,-0.323076923,1
дь_64ab27ab,-0.5,-0.5,0.589451944,-0.221218962,-0.280701754,-0.323076923,4
дь_64ab27ba,0,0,1.196948189,-0.275395034,-0.287719298,-0.276923077,2
дь_64ab28ba,-0.5,-0.5,0.592774206,-0.343115124,-0.341052632,-0.323076923,0
дь_64ab28bb,0,0,0.841136058,0.532731377,0.035087719,-0.115384615,0
дь_64ab29aa,-0.5,-0.5,0.841136058,-0.108352144,-0.272280702,-0.323076923,0
дь_64ab29ab,0.5,0.5,1.030333448,0.013544018,-0.150175439,-0.184615385,24
дь_64ab29ba,-0.5,-0.5,1.113829254,-0.121896163,-0.268070175,-0.261538462,1
дь_64ab29bb,-0.5,-0.5,1.113829254,-0.343115124,-0.341052632,-0.323076923,0
дь_64ab30aa,0,0,1.113829254,-0.054176072,-0.124912281,-0.130769231,10
дь_64ab30ab,-0.5,-0.5,1.391530628,0,-0.204912281,-0.215384615,11
дь_64ab31ab,-0.5,-0.5,1.185401419,-0.343115124,-0.33122807,-0.323076923,3
дь_64ab31ba,-0.5,-0.5,1.085864716,-0.343115124,-0.341052632,-0.323076923,0
дь_64ab31bb,0,0,1.03425153,-0.343115124,-0.322807018,-0.323076923,0
дь_64ab32aa,0.5,0.5,0.768718367,-0.257336343,-0.030877193,0.607692308,0
дь_64ab32ab,1,1,3.304943423,0.063205418,0.501052632,1.561538462,0
дь_64ab32ba,0.5,0.5,3.304943423,0.099322799,0.343859649,1.130769231,0
дь_64ab32bb,0.5,0.5,3.304943423,-0.027088036,0.071578947,0.615384615,0
дь_64ab33aa,0.5,0.5,3.447921922,-0.266365688,-0.188070175,-0.007692308,0
дь_64ab33ab,4.5,4.5,2.827313622,-0.198645598,-0.042105263,0.323076923,0
дь_64ab33ba,1,1,1.907169321,-0.257336343,-0.124912281,0.061538462,0
дь_64ab33bb,-0.5,-0.5,1.907169321,-0.343115124,-0.312982456,-0.261538462,0
дь_64ab34ab,-0.5,-0.5,0.801553054,-0.343115124,-0.341052632,-0.323076923,6
дь_64ab34ba,0,0,0.951657876,-0.162528217,-0.252631579,-0.323076923,29
дь_64ab34bb,-0.5,-0.5,0.877965618,-0.189616253,-0.103859649,-0.184615385,0
дь_64ab35bb,-0.5,-0.5,0.674473915,-0.316027088,-0.341052632,-0.323076923,2
дь_64ab36aa,-0.5,-0.5,0.674473915,-0.284424379,-0.32,-0.323076923,5
дь_64ab36ab,-0.5,-0.5,-0.644357016,-0.158013544,-0.126315789,-0.1,0
дь_64ab36ba,-0.5,-0.5,-0.644357016,0.126410835,0.686315789,1.523076923,0
дь_64ab36bb,-0.5,-0.5,0.373630385,0.60496614,1.073684211,2.246153846,0
дь_64ab37aa,-0.5,-0.5,0.373630385,-0.343115124,-0.33122807,-0.323076923,1
дь_64ab37ab,-0.5,-0.5,0.373630385,-0.293453725,-0.321403509,-0.323076923,2
дь_64ab37ba,0,0,0.601579987,-0.230248307,-0.289122807,-0.253846154,5
дь_64ab38bb,-0.5,-0.5,2.67786587,-0.316027088,-0.325614035,-0.323076923,1
дь_64ab39aa,-0.5,-0.5,2.67786587,-0.266365688,-0.290526316,-0.276923077,3
дь_64ba27ab,1,1,0.589451944,-0.013544018,-0.176842105,-0.276923077,21
дь_64ba27ba,0,0,2.32454226,-0.189616253,-0.218947368,-0.323076923,13
дь_64ba28aa,-0.5,-0.5,2.256017457,-0.343115124,-0.341052632,-0.323076923,1
дь_64ba28ab,-0.5,-0.5,0.592774206,-0.343115124,-0.341052632,-0.323076923,1
дь_64ba28bb,-0.5,-0.5,0.841136058,0.135440181,-0.120701754,-0.161538462,4
дь_64ba29aa,-0.5,-0.5,0.841136058,-0.343115124,-0.341052632,-0.323076923,10
дь_64ba29ab,0,0,2.030251297,-0.221218962,-0.276491228,-0.323076923,5
дь_64ba29ba,-0.5,-0.5,1.113829254,-0.343115124,-0.341052632,-0.323076923,5
дь_64ba29bb,-0.5,-0.5,1.113829254,-0.343115124,-0.341052632,-0.323076923,2
дь_64ba30aa,0.5,0.5,1.113829254,0.406320542,0.195087719,0.053846154,19
дь_64ba30ab,0,0,1.812052172,0.013544018,-0.039298246,-0.053846154,16
дь_64ba30ba,-0.5,-0.5,1.412449319,-0.343115124,-0.341052632,-0.323076923,2
дь_64ba30bb,0,0,1.412449319,-0.306997743,-0.301754386,-0.269230769,8
дь_64ba31aa,0,0,1.234598998,-0.212189616,-0.21754386,-0.176923077,9
дь_64ba31bb,1,1,1.229640551,-0.343115124,-0.311578947,-0.276923077,2
дь_64ba32aa,1,1,1.229640551,-0.284424379,-0.214736842,-0.076923077,0
дь_64ba32ab,5,5,1.229640551,-0.180586907,-0.065964912,0.184615385,0
дь_64ba32ba,2.5,2.5,0.999896316,-0.225733634,-0.155789474,-0.084615385,0
дь_64ba32bb,1.5,1.5,0.90825856,-0.288939052,-0.232982456,-0.107692308,0
дь_64ba33aa,0.5,0.5,0.882940752,-0.297968397,-0.234385965,-0.123076923,0
дь_64ba33bb,0.5,0.5,0.609765572,-0.343115124,-0.25122807,-0.323076923,0
дь_64ba34bb,-0.5,-0.5,0.877965618,-0.216704289,-0.258245614,-0.238461538,17
дь_64ba35aa,-0.5,-0.5,0.789366038,-0.343115124,-0.341052632,-0.323076923,4
дь_64ba35ba,-0.5,-0.5,0.674473915,-0.266365688,-0.310175439,-0.323076923,3
дь_64ba35bb,0.5,0.5,0.674473915,-0.270880361,-0.301754386,-0.323076923,14
дь_64ba36aa,0,0,0.674473915,-0.081264108,-0.050526316,0.123076923,11
дь_64ba36ab,0.5,0.5,0.169742775,-0.112866817,-0.050526316,0.146153846,0
дь_64ba36ba,-0.5,-0.5,-0.33128571,-0.004514673,0.106666667,0.176923077,0
дь_64ba36bb,-0.5,-0.5,0.373630385,1.309255079,0.642807018,0.446153846,0
дь_64ba37aa,-0.5,-0.5,0.373630385,-0.144469526,-0.206315789,-0.269230769,1
дь_64ba37ab,-0.5,-0.5,0.373630385,-0.343115124,-0.332631579,-0.323076923,0
дь_64ba38ab,0,0,0.724645848,-0.306997743,-0.329824561,-0.323076923,2
дь_64ba38ba,-0.5,-0.5,0.724645848,-0.343115124,-0.341052632,-0.323076923,1
дь_64ba38bb,-0.5,-0.5,0.724645848,-0.261851016,-0.286315789,-0.253846154,1
дь_64ba39aa,0,0,0.947401727,0.054176072,-0.05754386,-0.084615385,14
дь_64ba39ab,0,0,0.947401727,-0.316027088,-0.324210526,-0.323076923,3
дь_64ba39ba,-0.5,-0.5,1.240690387,-0.288939052,-0.321403509,-0.323076923,3
дь_64bb27ab,-0.5,-0.5,0.448524598,-0.343115124,-0.341052632,-0.323076923,0
дь_64bb28aa,-0.5,-0.5,-1.027222293,-0.343115124,-0.341052632,-0.323076923,1
дь_64bb28ab,-0.5,-0.5,-2.009915479,-0.343115124,-0.341052632,-0.323076923,5
дь_64bb28ba,-0.5,-0.5,0.592774206,-0.343115124,-0.341052632,-0.323076923,3
дь_64bb28bb,-0.5,-0.5,0.841136058,-0.343115124,-0.341052632,-0.323076923,3
дь_64bb29aa,-0.5,-0.5,0.841136058,-0.343115124,-0.332631579,-0.323076923,7
дь_64bb29ab,0.5,0.5,2.030251297,-0.343115124,-0.341052632,-0.323076923,3
дь_64bb29bb,-0.5,-0.5,1.113829254,-0.343115124,-0.341052632,-0.323076923,4
дь_64bb30aa,-0.5,-0.5,1.113829254,-0.343115124,-0.341052632,-0.323076923,4
дь_64bb30ba,-0.5,-0.5,1.271444519,-0.343115124,-0.341052632,-0.323076923,8
дь_64bb31aa,-0.5,-0.5,1.234598998,-0.343115124,-0.341052632,-0.323076923,0
дь_64bb34bb,-0.5,-0.5,0.851858872,-0.275395034,-0.303157895,-0.323076923,6
дь_64bb35aa,-0.5,-0.5,0.851858872,-0.343115124,-0.341052632,-0.323076923,0
дь_64bb35ab,-0.5,-0.5,0.789366038,-0.343115124,-0.341052632,-0.323076923,3
дь_64bb35ba,-0.5,-0.5,0.736685483,-0.343115124,-0.341052632,-0.323076923,7
дь_64bb35bb,0.5,0.5,0.243730185,-0.288939052,-0.303157895,-0.323076923,12
дь_64bb36aa,0,0,0.464362749,-0.306997743,-0.341052632,-0.323076923,3
дь_64bb36ab,0,0,0.464362749,-0.275395034,-0.318596491,-0.323076923,6
дь_64bb36ba,1.5,1.5,0.464362749,0.036117381,-0.103859649,-0.146153846,23
дь_64bb36bb,-0.5,-0.5,0.317726194,-0.343115124,-0.327017544,-0.323076923,2
дь_64bb37ab,0,0,-0.240798487,-0.343115124,-0.341052632,-0.323076923,2
дь_64bb38bb,-0.5,-0.5,0.724645848,-0.279909707,-0.284912281,-0.269230769,1
дь_64bb39aa,0,0,0.947401727,-0.081264108,-0.196491228,-0.246153846,14
дь_64bb39ab,0.5,0.5,0.947401727,-0.212189616,-0.241403509,-0.238461538,10
дь_64bb39ba,-0.5,-0.5,1.240690387,-0.23476298,-0.237192982,-0.192307692,4
дь_64bb39bb,0,0,1.241557565,-0.261851016,-0.277894737,-0.246153846,2
дь_64bb40aa,0,0,0.915890652,-0.212189616,-0.237192982,-0.223076923,6
дь_65aa27aa,-0.5,-0.5,0.381172416,-0.343115124,-0.341052632,-0.323076923,2
дь_65aa27ab,-0.5,-0.5,0.446607051,0.334085779,0.157192982,-0.153846154,1
дь_65aa27ba,-0.5,-0.5,-1.027222293,-0.194130926,-0.143157895,-0.146153846,5
дь_65aa27bb,0.5,0.5,-1.027222293,-0.225733634,-0.224561404,-0.323076923,6
дь_65aa28aa,0,0,-1.027222293,3.110609481,3.323508772,3.138461538,11
дь_65aa28ab,-0.5,-0.5,-2.009915479,1.62979684,1.92,3.184615385,14
дь_65aa28ba,0,0,-0.432322562,1.083521445,1.863859649,3.7,10
дь_65aa28bb,1,1,-0.432322562,1.64785553,1.807719298,2.9,20
дь_65aa29aa,0,0,2.093221165,0.600451467,1.155087719,1.653846154,0
дь_65aa29ab,-0.5,-0.5,2.030251297,0.699774266,2.752280702,0.476923077,1
дь_65aa29ba,0,0,1.852384091,-0.284424379,-0.283508772,-0.323076923,10
дь_65aa29bb,0,0,1.812052172,0.275395034,1.710877193,0.123076923,8
дь_65aa30aa,-0.5,-0.5,1.812052172,1.467268623,1.477894737,1.492307692,4
дь_65aa30ab,0,0,1.812052172,2.297968397,3.331929825,4.123076923,8
дь_65aa30ba,0,0,1.770365577,1.34537246,1.214035088,2.269230769,0
дь_65aa30bb,-0.5,-0.5,1.727043155,0.505643341,0.467368421,0.976923077,0
дь_65aa31ba,-0.5,-0.5,1.415610415,-0.176072235,-0.193684211,-0.092307692,0
дь_65aa31bb,-0.5,-0.5,1.229640551,-0.090293454,-0.144561404,-0.053846154,0
дь_65aa32bb,-0.5,-0.5,0.740030766,0.009029345,0.109473684,0.123076923,0
дь_65aa33ba,-0.5,-0.5,0.639746404,-0.343115124,-0.341052632,-0.323076923,0
дь_65aa33bb,-0.5,-0.5,0.609765572,-0.343115124,-0.32,-0.323076923,0
дь_65aa35ab,-0.5,-0.5,0.43567095,-0.343115124,-0.341052632,-0.323076923,0
дь_65aa35ba,-0.5,-0.5,1.314798359,-0.297968397,-0.328421053,-0.323076923,1
дь_65aa35bb,0,0,0.243730185,-0.126410835,-0.188070175,-0.215384615,16
дь_65aa36aa,-0.5,-0.5,0.464362749,-0.343115124,-0.341052632,-0.323076923,0
