,gid,pa,ep,fp,yp,nb,year,cctv,light,log_pa,log_nb
1370,木夭丑友什66bb33ab,1.28,103.0,303.0,97.0,26.0,1996,2,7,0.2468600779315258,3.258096538021482
1371,木夭丑友什66bb33ba,1.28,199.0,543.0,122.0,25.0,1994,0,0,0.2468600779315258,3.2188758248682006
1372,木夭丑友什66bb33bb,2.199,176.0,607.0,145.0,13.0,1994,3,0,0.788002711572624,2.5649493574615367
1373,木夭丑友什66bb34aa,2.199,171.0,485.0,122.0,19.0,1999,0,5,0.788002711572624,2.9444389791664403
1374,木夭丑友什66bb34ab,2.199,158.0,363.0,109.0,20.0,1994,4,0,0.788002711572624,2.995732273553991
1375,木夭丑友什66bb34ba,0.649,97.0,179.0,30.0,19.0,1996,1,0,-0.43232256227804705,2.9444389791664403
1376,木夭丑友什66bb34bb,0.649,72.0,381.0,14.0,11.0,1999,2,0,-0.43232256227804705,2.3978952727983707
1377,木夭丑友什66bb35aa,1.504,330.0,969.0,252.0,66.0,1993,3,0,0.4081282255276481,4.189654742026425
1378,木夭丑友什66bb35ab,1.504,153.0,632.0,149.0,45.0,2009,6,0,0.4081282255276481,3.8066624897703196
1379,木夭丑友什66bb35ba,1.504,28.0,198.0,47.0,33.0,2011,3,0,0.4081282255276481,3.4965075614664802
1380,木夭丑友什66bb35bb,7.37,0.0,0.0,0.0,2.0,2010,0,0,1.9974177062012453,0.6931471805599453
1383,木夭丑友什66bb36ba,2.09,65.0,306.0,103.0,47.0,2017,0,12,0.7371640659767196,3.8501476017100584
1384,木夭丑友什66bb36bb,1.42,318.0,550.0,53.0,48.0,1999,1,15,0.35065687161316933,3.871201010907891
1385,木夭丑友什66bb37aa,0.762,311.0,668.0,75.0,115.0,2000,3,30,-0.2718087232954908,4.74493212836325
1386,木夭丑友什66bb37ab,0.762,66.0,184.0,27.0,31.0,1998,1,16,-0.2718087232954908,3.4339872044851463
1387,木夭丑友什66bb37ba,8.574,205.0,396.0,44.0,39.0,1994,1,8,2.1487343681757856,3.6635616461296463
1388,木夭丑友什66bb37bb,8.574,566.0,1286.0,155.0,143.0,1991,3,22,2.1487343681757856,4.962844630259907
1389,木夭丑友什66bb38aa,7.724,606.0,1161.0,95.0,222.0,1992,2,40,2.044332364566268,5.402677381872279
1390,木夭丑友什66bb38ab,0.69,331.0,595.0,57.0,189.0,1990,2,38,-0.37106368139083207,5.241747015059643
1391,木夭丑友什66bb38ba,0.69,151.0,275.0,12.0,71.0,1992,2,18,-0.37106368139083207,4.2626798770413155
1392,木夭丑友什66bb38bb,3.975,0.0,0.0,0.0,8.0,2007,0,0,1.3800247481062953,2.0794415416798357
1394,木夭丑友什66bb39ab,0.207,24.0,52.0,0.0,18.0,2001,1,8,-1.575036485716768,2.8903717578961645
1395,木夭丑友什66bb39ba,4.92,0.0,0.0,0.0,1.0,1994,0,3,1.5933085305042167,0.0
1396,木夭丑友什66bb39bb,0.904,0.0,14.0,0.0,10.0,2005,0,0,-0.10092591858996053,2.302585092994046
1397,木夭丑友什66bb40aa,0.904,0.0,8.0,0.0,15.0,2007,0,6,-0.10092591858996053,2.70805020110221
1398,木夭丑友什66bb40ab,0.904,0.0,0.0,0.0,12.0,2007,0,0,-0.10092591858996053,2.4849066497880004
1399,木夭丑友什66bb40ba,0.952,0.0,0.0,0.0,2.0,2008,0,0,-0.04919024419077178,0.6931471805599453
1400,木夭丑友什66bb40bb,1.988,0.0,0.0,0.0,13.0,2004,1,1,0.6871291082343823,2.5649493574615367
1402,木夭丑友什67aa26ba,2.713,0.0,0.0,0.0,1.0,2017,0,0,0.9980550336767947,0.0
1403,木夭丑友什67aa26bb,2.908,6.0,21.0,0.0,13.0,2005,0,1,1.067465559671273,2.5649493574615367
1404,木夭丑友什67aa27aa,0.733,20.0,49.0,6.0,19.0,2003,0,7,-0.3106095770954856,2.9444389791664403
1405,木夭丑友什67aa27ab,1.045,0.0,0.0,0.0,2.0,2008,0,0,0.04401688541677426,0.6931471805599453
