설치개수,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
1,경기도 성남시 수정구 수정로154번길 17-3,경기도 성남시 수정구 신흥동 5809번지,37.44114552,127.1380156,2018.8.16
1,경기도 성남시 수정구 수정로154번길 15-1,경기도 성남시 수정구 신흥동 5807번지,37.44120776,127.1379019,2018.8.16
1,경기도 성남시 수정구 수정로154번길 15-6,경기도 성남시 수정구 신흥동 5805번지,37.44120933,127.1381166,2018.8.16
1,경기도 성남시 수정구 수정로154번길 13-8,경기도 성남시 수정구 신흥동 5761번지,37.44136291,127.1381713,2018.8.16
2,경기도 성남시 중원구 희망로353번길13,경기도 성남시 중원구 상대원동 4235,37.437165,127.1566546,2018.8.16
1,경기도 성남시 중원구 희망로347번길6-5,경기도 성남시 중원구 상대원동 4141,37.4370018,127.1574339,2018.8.16
2,경기도 성남시 중원구 희망로353번길3,경기도 성남시 중원구 상대원동 4123,37.4370827,127.1576487,2018.8.16
1,경기도 성남시 중원구 희망로343번길10-9,경기도 성남시 중원구 상대원동 4194,37.4365791,127.156902,2018.8.16
1,경기도 성남시 중원구 희망로353번길13-1,경기도 성남시 중원구 상대원동 4236,37.4371922,127.1565416,2018.8.16
1,경기도 성남시 중원구 둔촌대로389번길 25-11,경기도 성남시 중원구 상대원동 1819,37.4354395,127.1602102,2018.8.16
1,경기도 성남시 중원구 둔촌대로389번길 25-19,경기도 성남시 중원구 상대원동 1829,37.4352505,127.1599839,2018.8.16
1,경기도 성남시 중원구 박석로33번길5,경기도 성남시 중원구 상대원동 1371,37.4357211,127.1651824,2018.8.16
1,경기도 성남시 중원구 박석로33번길27,경기도 성남시 중원구 상대원동 1547,37.4357781,127.1629566,2018.8.16
1,경기도 성남시 중원구 둔촌대로413번길 30,경기도 성남시 중원구 상대원동 1547-2,37.4356611,127.1628773,2018.8.16
1,경기도 성남시 중원구 박석로86번길5,경기도 성남시 중원구 상대원동 797,37.4405504,127.1651816,2018.8.16
1,경기도 성남시 중원구 금상로82번길16,경기도 성남시 중원구 상대원동 793-5,37.4405777,127.1649895,2018.8.16
1,경기도 성남시 중원구 금상로82번길10,경기도 성남시 중원구 상대원동 787-1,37.4409655,127.1647644,2018.8.16
