,year,cctv,light,log_pa,ep,fp,yp,log_nb,label,gid
323,0,0,0,0.01861625188910772,0.7900677200902935,0.45052631578947366,0.6538461538461539,-0.1152255093764603,2,木夭丑友什65ab30bb
324,0,1,1,0.6926407238323906,-0.1489841986455982,-0.1656140350877193,-0.1076923076923077,0.17939422343731273,0,木夭丑友什65ab31ba
325,0,1,1,0.6926407238323906,-0.03611738148984198,0.03368421052631579,0.06923076923076923,0.5507310642135506,0,木夭丑友什65ab31bb
326,0,1,1,0.6926407238323906,0.17607223476297967,0.5136842105263157,0.9384615384615385,-0.447339940163651,0,木夭丑友什65ab32aa
327,0,0,0,0.5200487189286271,0.2618510158013544,1.2757894736842106,1.4230769230769231,-0.5265866365753535,2,木夭丑友什65ab32ab
328,0,1,1,0.31893857756606686,-0.1038374717832957,0.07017543859649122,0.24615384615384617,-1.2700621945614374,0,木夭丑友什65ab32ba
329,0,1,1,0.31893857756606686,0.29345372460496616,0.40421052631578946,0.18461538461538463,-0.3774394000310676,0,木夭丑友什65ab32bb
330,0,1,1,0.31893857756606686,0.02708803611738149,0.2007017543859649,0.2076923076923077,-0.2583476316502001,0,木夭丑友什65ab33aa
331,0,1,1,-0.16246707204917654,-0.28893905191873587,-0.08982456140350877,-0.3230769230769231,0.03392172716782555,0,木夭丑友什65ab33bb
332,0,0,0,0.006932138886493134,-0.3431151241534989,-0.30736842105263157,-0.27692307692307694,-0.3774394000310676,1,木夭丑友什65ab35aa
333,0,0,0,0.006932138886493134,-0.3431151241534989,-0.3298245614035088,-0.3230769230769231,-0.20670910649791258,1,木夭丑友什65ab35ab
334,0,0,0,0.006932138886493134,-0.29345372460496616,-0.32,-0.3230769230769231,-0.07428040250805494,1,木夭丑友什65ab35ba
335,0,1,1,0.27556038001926625,-0.21670428893905191,-0.25263157894736843,-0.2,-0.03597881296475759,0,木夭丑友什65ab35bb
336,0,0,0,0.019299656937222253,-0.3431151241534989,-0.3410526315789474,-0.3230769230769231,-0.1152255093764603,1,木夭丑友什65ab36aa
337,0,0,0,0.019299656937222253,-0.3115124153498871,-0.33263157894736844,-0.3230769230769231,-1.0294313608956993,1,木夭丑友什65ab36ab
338,0,1,1,0.6172807554976522,-0.3431151241534989,-0.3410526315789474,-0.3230769230769231,-1.681423321760331,0,木夭丑友什65ab39bb
339,0,0,0,0.510090481204057,-0.3160270880361174,-0.32421052631578945,-0.3230769230769231,-0.3774394000310676,1,木夭丑友什65ab40aa
340,0,0,0,-0.12985197722470185,0.1986455981941309,0.3059649122807018,-0.12307692307692308,-0.618070233696806,1,木夭丑友什65ba26ba
341,0,1,1,-0.07112455002550072,0.06772009029345373,0.060350877192982454,-0.2076923076923077,-0.7262723633726866,0,木夭丑友什65ba26bb
342,0,0,0,-0.07112455002550072,-0.19413092550790068,-0.2849122807017544,-0.3230769230769231,-0.2583476316502001,1,木夭丑友什65ba27aa
343,0,1,1,-0.3877892124986093,1.1331828442437923,0.7354385964912281,0.2846153846153846,0.9481275786870647,3,木夭丑友什65ba27ab
344,0,1,1,-0.6697927892685128,1.0248306997742664,1.2870175438596492,1.646153846153846,1.0861816201332775,4,木夭丑友什65ba27ba
345,0,1,1,-0.6697927892685128,0.5688487584650113,0.5249122807017544,0.7769230769230769,0.46154328681486245,3,木夭丑友什65ba27bb
