year,cctv,light,pa,ep,fp,yp,nb,label,gid
1,1,1,-0.254624229,-0.189616253,-0.056140351,0.061538462,1.918699187,2,木夭丑友什62bb32ab
1,1,1,-0.845859023,-0.162528217,-0.095438596,-0.007692308,1.788617886,2,木夭丑友什62bb32ba
1,1,1,-0.688551908,-0.270880361,-0.258245614,-0.261538462,0.552845528,0,木夭丑友什62bb32bb
1,0,0,2.557573738,-0.306997743,-0.314385965,-0.323076923,0.032520325,0,木夭丑友什62bb33aa
1,0,0,1.677053824,-0.343115124,-0.341052632,-0.323076923,-0.390243902,0,木夭丑友什62bb34aa
1,0,0,1.677053824,-0.343115124,-0.341052632,-0.323076923,-0.487804878,0,木夭丑友什62bb34ab
1,1,1,2.212964506,-0.306997743,-0.311578947,-0.323076923,-0.162601626,0,木夭丑友什62bb35ab
1,0,0,2.212964506,-0.343115124,-0.332631579,-0.323076923,-0.357723577,0,木夭丑友什62bb35ba
0,0,0,1.167805366,-0.343115124,-0.341052632,-0.323076923,-0.520325203,0,木夭丑友什62bb36bb
0,0,0,0.879186802,-0.343115124,-0.341052632,-0.323076923,-0.520325203,0,木夭丑友什63aa28aa
1,0,0,0.82386269,-0.343115124,-0.332631579,-0.323076923,-0.487804878,0,木夭丑友什63aa28ab
0,0,0,1.013164473,-0.343115124,-0.329824561,-0.323076923,-0.520325203,0,木夭丑友什63aa28ba
0,0,0,1.013164473,-0.343115124,-0.341052632,-0.323076923,-0.520325203,0,木夭丑友什63aa28bb
1,1,1,-0.254624229,-0.306997743,-0.294736842,-0.323076923,0.06504065,0,木夭丑友什63aa32aa
1,1,1,-0.254624229,-0.099322799,-0.033684211,0.246153846,1.853658537,2,木夭丑友什63aa32ab
1,1,1,-0.723879353,-0.239277652,-0.199298246,-0.176923077,1.593495935,2,木夭丑友什63aa32ba
1,0,0,-0.688551908,-0.284424379,-0.283508772,-0.223076923,0.390243902,0,木夭丑友什63aa32bb
0,1,1,1.677053824,-0.343115124,-0.341052632,-0.323076923,0.552845528,0,木夭丑友什63aa34aa
1,0,0,0.107315447,-0.203160271,-0.254035088,-0.253846154,0.390243902,0,木夭丑友什63aa37ab
0,0,0,0.82386269,-0.343115124,-0.33122807,-0.323076923,-0.357723577,0,木夭丑友什63ab28ab
1,0,0,1.303116147,-0.343115124,-0.328421053,-0.323076923,-0.097560976,0,木夭丑友什63ab31ba
1,0,0,-0.254624229,-0.18510158,-0.234385965,-0.169230769,-0.130081301,0,木夭丑友什63ab31bb
1,1,1,-0.254624229,0.347629797,1.009122807,2.153846154,-0.06504065,2,木夭丑友什63ab32aa
1,1,1,-0.254624229,0.148984199,0.383157895,0.646153846,0.487804878,2,木夭丑友什63ab32ab
1,1,1,-0.723879353,0.112866817,0.22877193,0.353846154,0.325203252,2,木夭丑友什63ab32ba
1,0,0,1.239793368,-0.343115124,-0.341052632,-0.323076923,-0.097560976,0,木夭丑友什63ab34ab
0,0,0,1.239793368,-0.343115124,-0.341052632,-0.323076923,0.682926829,0,木夭丑友什63ab34ba
0,1,1,1.694384269,-0.343115124,-0.341052632,-0.323076923,-0.455284553,0,木夭丑友什63ab34bb
0,1,1,0.107315447,-0.293453725,-0.294736842,-0.323076923,-0.097560976,0,木夭丑友什63ab37ab
1,0,0,2.162972838,-0.343115124,-0.341052632,-0.323076923,-0.292682927,0,木夭丑友什63ba29ba
1,0,0,0.399266789,-0.297968397,-0.314385965,-0.276923077,-0.130081301,0,木夭丑友什63ba31ba
1,1,1,0.974504249,-0.343115124,-0.341052632,-0.323076923,-0.455284553,0,木夭丑友什63ba31bb
1,0,0,0.017997,0.812641084,1.557894737,3.230769231,0.130081301,2,木夭丑友什63ba32aa
1,1,1,-0.15064156,-0.343115124,-0.293333333,-0.323076923,0.74796748,0,木夭丑友什63ba32ab
1,1,1,-0.15064156,-0.194130926,-0.17122807,-0.176923077,0.487804878,0,木夭丑友什63ba32ba
1,0,0,0.629895017,-0.248306998,-0.259649123,-0.238461538,-0.455284553,0,木夭丑友什63ba33bb
1,0,0,1.239793368,-0.343115124,-0.341052632,-0.323076923,-0.032520325,0,木夭丑友什63ba34ab
0,0,0,1.239793368,-0.343115124,-0.341052632,-0.323076923,-0.325203252,0,木夭丑友什63ba34ba
