,gid,cctv,light,log_pa,ep,fp,yp,nb
305,дь_65aa40aa,1.5,1.5,0.915890652,0.094808126,-0.094035088,-0.1,3.427626340404232
306,дь_65ab26ab,-0.5,-0.5,0.850578189,-0.027088036,-0.063157895,-0.223076923,0.7524504306244418
307,дь_65ab26ba,0.5,0.5,0.850578189,-0.316027088,-0.317192982,-0.323076923,1.6805105247454442
308,дь_65ab26bb,0.0,0.0,0.381172416,-0.076749436,0.190877193,-0.253846154,1.871591121293624
309,дь_65ab27aa,-0.5,-0.5,0.381172416,-0.343115124,-0.341052632,-0.323076923,0.09548225679308976
310,дь_65ab27ab,0.0,0.0,0.446607051,0.06772009,-0.108070175,-0.223076923,3.595143919688303
311,дь_65ab27ba,1.5,1.5,-1.027222293,0.519187359,0.623157895,0.361538462,4.390999404642522
312,дь_65ab27bb,1.0,1.0,-1.027222293,0.148984199,0.56,-0.1,3.5143616624734317
313,дь_65ab28aa,-0.5,-0.5,-1.027222293,0.853273138,0.74245614,0.423076923,2.930174942615175
314,дь_65ab28ab,0.0,0.0,-2.009915479,1.941309255,1.204210526,1.053846154,2.6146012016941915
315,дь_65ab28ba,0.0,0.0,-0.432322562,0.203160271,0.461754386,1.1,2.1768845859352064
316,дь_65ab28bb,0.0,0.0,-0.432322562,0.261851016,0.145964912,0.292307692,0.7524504306244418
317,дь_65ab29aa,-0.5,-0.5,-0.102032726,0.180586907,0.138947368,0.192307692,2.0346159972975615
318,дь_65ab29ab,-0.5,-0.5,0.134530893,-0.031602709,-0.103859649,-0.130769231,0.7524504306244418
319,дь_65ab29ba,0.5,0.5,0.134530893,-0.171557562,-0.103859649,0.046153846,1.449334001130827
320,дь_65ab29bb,0.5,0.5,0.134530893,-0.23476298,-0.21754386,-0.123076923,0.09548225679308976
321,дь_65ab30aa,0.0,0.0,-0.913793852,0.158013544,0.101052632,0.053846154,3.0605392086593843
322,дь_65ab30ba,-0.5,-0.5,0.463734016,1.575620767,1.059649123,1.230769231,0.09548225679308976
323,дь_65ab30bb,-0.5,-0.5,0.463734016,0.79006772,0.450526316,0.653846154,-2.205124015364859
324,дь_65ab31ba,0.0,0.0,1.083837003,-0.148984199,-0.165614035,-0.107692308,-2.205124015364859
325,дь_65ab31bb,2.5,2.5,1.083837003,-0.036117381,0.033684211,0.069230769,-2.205124015364859
326,дь_65ab32aa,0.0,0.0,1.083837003,0.176072235,0.513684211,0.938461538,-2.205124015364859
327,дь_65ab32ab,-0.5,-0.5,0.925052238,0.261851016,1.275789474,1.423076923,-2.205124015364859
328,дь_65ab32ba,0.5,0.5,0.740030766,-0.103837472,0.070175439,0.246153846,-2.205124015364859
329,дь_65ab32bb,0.0,0.0,0.740030766,0.293453725,0.404210526,0.184615385,-2.205124015364859
330,дь_65ab33aa,0.0,0.0,0.740030766,0.027088036,0.200701754,0.207692308,-2.205124015364859
331,дь_65ab33bb,0.0,0.0,0.297137231,-0.288939052,-0.089824561,-0.323076923,-2.205124015364859
332,дь_65ab35aa,-0.5,-0.5,0.452984624,-0.343115124,-0.307368421,-0.276923077,0.7524504306244418
333,дь_65ab35ab,-0.5,-0.5,0.452984624,-0.343115124,-0.329824561,-0.323076923,-2.205124015364859
334,дь_65ab35ba,-0.5,-0.5,0.452984624,-0.293453725,-0.32,-0.323076923,0.09548225679308976
335,дь_65ab35bb,0.0,0.0,0.700122794,-0.216704289,-0.252631579,-0.2,1.1559704510713553
336,дь_65ab36aa,-0.5,-0.5,0.464362749,-0.343115124,-0.341052632,-0.323076923,-2.205124015364859
337,дь_65ab36ab,-0.5,-0.5,0.464362749,-0.311512415,-0.332631579,-0.323076923,-2.205124015364859
338,дь_65ab39bb,0.0,0.0,1.014505779,-0.343115124,-0.341052632,-0.323076923,-2.205124015364859
339,дь_65ab40aa,-0.5,-0.5,0.915890652,-0.316027088,-0.324210526,-0.323076923,0.7524504306244418
340,дь_65ba26ba,-0.5,-0.5,0.327143141,0.198645598,0.305964912,-0.123076923,1.449334001130827
341,дь_65ba26bb,0.5,0.5,0.381172416,0.06772009,0.060350877,-0.207692308,1.6805105247454442
342,дь_65ba27aa,-0.5,-0.5,0.381172416,-0.194130926,-0.284912281,-0.323076923,2.5199610850467526
343,дь_65ba27ab,1.0,1.0,0.089840704,1.133182844,0.735438596,0.284615385,4.811180759248893
344,дь_65ba27ba,0.0,0.0,-0.169602784,1.0248307,1.287017544,1.646153846,5.101340346140699
345,дь_65ba27bb,0.5,0.5,-0.169602784,0.568848758,0.524912281,0.776923077,3.841024191030605
346,дь_65ba28aa,0.5,0.5,-0.169602784,1.990970655,1.605614035,0.546153846,3.232158706401343
347,дь_65ba28ab,1.5,1.5,-0.01308524,3.124153499,1.37122807,0.369230769,2.930174942615175
348,дь_65ba28ba,-0.5,-0.5,0.501986675,0.112866817,0.049122807,0.169230769,2.303161982697385
349,дь_65ba29aa,2.0,2.0,0.168898536,0.121896163,0.10245614,-0.030769231,4.675976169254766
350,дь_65ba29ab,-0.5,-0.5,0.168898536,1.963882619,1.642105263,1.823076923,3.8088665679598366
351,дь_65ba29ba,-0.5,-0.5,0.168898536,1.643340858,1.212631579,1.761538462,2.930174942615175
352,дь_65ba29bb,1.0,1.0,0.134530893,1.331828442,1.928421053,2.738461538,3.555444447354803
353,дь_65ba30aa,0.0,0.0,0.371563556,0.586907449,0.569824561,0.153846154,5.509877064161574
354,дь_65ba30ab,1.5,1.5,0.463734016,0.275395034,0.332631579,0.092307692,4.958472182886142
355,дь_65ba30ba,-0.5,-0.5,0.463734016,0.695259594,0.439298246,0.423076923,4.286236993196077
356,дь_65ba30bb,0.0,0.0,0.463734016,2.455981941,2.443508772,1.792307692,2.6146012016941915
357,дь_65ba31aa,0.0,0.0,0.650761464,0.550790068,0.293333333,0.130769231,1.6805105247454442
358,дь_65ba31ba,1.0,1.0,0.964699871,-0.266365688,-0.206315789,-0.215384615,0.09548225679308976
359,дь_65ba31bb,2.0,2.0,0.964699871,-0.072234763,0.046315789,0.161538462,-2.205124015364859
360,дь_65ba32aa,1.0,1.0,0.964699871,-0.081264108,0.053333333,0.269230769,-2.205124015364859
361,дь_65ba32ab,0.0,0.0,0.67498321,0.392776524,1.068070175,2.207692308,-2.205124015364859
362,дь_65ba32ba,-0.5,-0.5,0.67498321,-0.126410835,-0.012631579,0.307692308,-2.205124015364859
363,дь_65ba33aa,1.0,1.0,0.662172376,-0.343115124,-0.087017544,-0.323076923,-2.205124015364859
