gid,lon,lat,인구_전체,인구_여자,인구_남자,유소년_전체,유소년_여자,유소년_남자,고령_전체,고령_여자,고령_남자,건축물수,공동주택수,단독주택수,사용승인일,cctv,보안등
ㅼ궗686389,127.1455627,37.44920521,274,122,152,13,0,8,38,18,20,7,3,,2002.57,2,8
ㅼ궗665336,127.1220611,37.40135962,252,129,123,32,14,18,48,23,25,2,2,,1992.5,0,0
ㅼ궗669328,127.1266163,37.39416308,222,109,113,20,7,13,28,12,16,2,1,,1992,0,0
ㅼ궗674386,127.1320092,37.44645967,575,271,304,23,15,8,146,90,56,111,1,110,1988.78,1,20
ㅼ궗661344,127.1175051,37.40855598,206,104,102,39,17,22,7,0,0,2,2,,2009,2,0
ㅼ궗667304,127.1244647,37.37252316,702,351,351,117,49,68,86,44,42,7,6,,1993,0,0
ㅼ궗678349,127.1366925,37.41312337,415,181,234,30,14,16,59,26,33,18,1,17,1995.89,0,4
ㅼ궗674309,127.1323485,37.37705483,308,169,139,45,26,19,33,19,14,1,1,,1991,0,0
ㅼ궗692399,127.1523043,37.45823892,6,0,0,,,,,,,8,,,1989.5,0,0
ㅼ궗673402,127.1308078,37.46087783,8,0,0,,,,0,0,0,2,,,2007,1,1
ㅼ궗657351,127.1129529,37.41485079,44,25,19,0,0,0,0,0,,8,1,2,2011.38,0,0
ㅼ궗706403,127.1681182,37.46188987,86,45,41,7,0,0,19,10,9,15,1,5,1986.33,0,4
ㅼ궗704347,127.166081,37.41140728,381,212,169,14,9,0,115,69,46,2,2,,2008,0,0
ㅼ궗655364,127.1106321,37.42656102,0,0,0,,,,0,0,0,1,,1,,0,1
ㅼ궗665291,127.1222646,37.36079819,444,222,222,62,33,29,53,34,19,2,2,,1995,0,0
ㅼ궗655317,127.1108513,37.38419709,134,63,71,16,0,11,12,6,6,21,,21,2011.67,1,3
ㅼ궗674352,127.1321592,37.41581348,486,265,221,48,25,23,108,53,55,2,2,,1993,0,0
ㅼ궗688367,127.1479167,37.42938207,228,120,108,18,11,7,53,30,23,28,4,12,1992.71,0,6
ㅼ궗689350,127.1491185,37.41406228,235,120,115,36,16,20,20,11,9,4,2,2,2009,0,0
