소재지도로명주소,카메라대수,위도,경도,데이터기준일자,소재지지번주소,,,,,,,,구미동,133,구미동,133
"경기도 성남시 중원구 박석로 78, 주민센터  주차장 부근(상대원동)",3,37.4396958,127.1654869,2018.4.1,경기도 성남시 중원구 상대원3동 856 주민센터주차장 부근,,,,,,,,,,,
"경기도 성남시 분당구 새마을로1번길 3, 솔밭어린이공원  (서현동)",3,37.3844871,127.1305004,2018.4.1,경기도 성남시 분당구 서현1동 78-4번지 솔밭어린이공원,,,,,,,,삼평동,136,,
"경기도 성남시 분당구 중앙공원로32번길 20, 분당초등학교  주변(서현동)",3,37.3786276,127.1298147,2018.4.1,경기도 성남시 분당구 서현1동 92-1번지 분당초등학교 주변,,,,,,,,,,,
"경기도 성남시 분당구 중앙공원로39번길 12, 서현초등학교  주변(서현동)",3,37.3824537,127.1284802,2018.4.1,경기도 성남시 분당구 서현1동 87-1번지 서현초등학교 주변,,,,,,,,,,,
"경기도 성남시 분당구 서현로237번길 7, (서현동)",3,37.3858623,127.1282472,2018.4.1,경기도 성남시 분당구 서현1동 85-4번지,,,,,,,,,,,
"경기도 성남시 분당구 서현로255번길 7, (서현동)",3,37.3848259,127.1296425,2018.4.1,경기도 성남시 분당구 서현1동 80-4번지,,,,,,,,,,,
,1,37.3822533,127.1521413,2018.4.1,경기도 성남시 분당구 율동 323-15 율동어린이놀이터,,,,,,,,율동,14,,
"경기도 성남시 분당구 안골로 42, (서현동)",1,37.3855916,127.1362579,2018.4.1,경기도 성남시 분당구 서현1동 188-18번지,,,,,,,,,,,
"경기도 성남시 분당구 문정로 145, 율동공원  (율동)",4,37.3820866,127.1509352,2018.4.1,경기도 성남시 분당구 율동 318 율동공원,,,,,,,,,,,
"경기도 성남시 분당구 중앙공원로31번길 32, 중앙유치원  (서현동)",1,37.3824028,127.1260124,2018.4.1,경기도 성남시 분당구 서현1동 89-4번지(중앙유치원),,,,,,,,,,,
,5,37.382561,127.134051,2018.4.1,경기도 성남시 분당구 서현1동 240-39번지 맞은편,,,,,,,,,,,
"경기도 성남시 분당구 서현로 216, (서현동)",4,37.386251,127.126451,2018.4.1,경기도 성남시 분당구 서현1동 245-1번지,,,,,,,,,,,
"경기도 성남시 분당구 불정로406번길 17, 양영초등학교 35호 양영어린이공원 분당 주변(서현동)",3,37.376033,127.134598,2018.4.1,경기도 성남시 분당구 서현2동 317-9번지 양영어린이공원(분당35호) 양영초등학교 주변,,,,,,,,,,,
"경기도 성남시 분당구 불정로 432, 부근  (서현동)",2,37.3773426,127.1412941,2018.4.1,경기도 성남시 분당구 서현2동 338-1번지 부근,,,,,,,,,,,
,3,37.3710712,127.1360062,2018.4.1,경기도 성남시 분당구 서현2동 309번지 미래어린이공원(분당37호),,,,,,,,,,,
"경기도 성남시 분당구 서현로393번길 8, (서현동)",4,37.3758825,127.1413777,2018.4.1,경기도 성남시 분당구 서현2동 340-19번지,,,,,,,,,,,
"경기도 성남시 분당구 불정로406번길 17, 양영초등학교  주변(서현동)",4,37.3746985,127.1396401,2018.4.1,경기도 성남시 분당구 서현2동 319번지 양영초등학교 주변,,,,,,,,,,,
"경기도 성남시 분당구 서현로357번길 8, (서현동)",3,37.3782103,127.1387889,2018.4.1,경기도 성남시 분당구 서현2동 329-1번지 앞,,,,,,,,,,,
"경기도 성남시 분당구 불정로426번길 5, (서현동)",3,37.3766601,127.1410802,2018.4.1,경기도 성남시 분당구 서현2동 336-5번지 앞,,,,,,,,,,,
"경기도 성남시 분당구 불정로420번길 19, (서현동)",3,37.3754788,127.1417294,2018.4.1,경기도 성남시 분당구 서현2동 340-5번지 앞,,,,,,,,,,,
"경기도 성남시 분당구 서현로371번길 13, (서현동)",1,37.3777576,127.1401183,2018.4.1,경기도 성남시 분당구 서현2동 330-7번지,,,,,,,,,,,
,3,37.3724769,127.1405197,2018.4.1,경기도 성남시 분당구 서현동 314-1 수련어린이공원,,,,,,,,,,,
,3,37.3766914,127.1246814,2018.4.1,경기도 성남시 분당구 서현2동 346-11번지,,,,,,,,,,,
경기도 성남시 분당구 삼거리,5,37.378761,127.137291,2018.4.1,경기도 성남시 분당구 서현2동 343-2 삼거리,,,,,,,,,,,
"경기도 성남시 분당구 서현로411번길 7, (서현동)",3,37.375281,127.142571,2018.4.1,경기도 성남시 분당구 서현2동 340-11,,,,,,,,,,,
,2,37.3907334,127.1372605,2018.4.1,경기도 성남시 분당구 이매1동 338-1번지 베스티아 부근,,,,,,,,이매동,101,,
,3,37.391276,127.1339472,2018.4.1,경기도 성남시 분당구 이매1동 301-7번지 갈보리교회(갈보리어린이집),,,,,,,,,,,
,3,37.3976095,127.1319332,2018.4.1,경기도 성남시 분당구 이매1동 65번지 부근,,,,,,,,,,,
