gid,lon,lat,fp,yp,ep,nb,cctv_light,b20,label
木夭丑友什642301,127.0962441,37.36972605,4.358898944,0,2.449489743,2.236067977,0,0,4
木夭丑友什675380,127.1331661,37.44105505,7.745966692,0,5.477225575,4.242640687,1,1,4
木夭丑友什614327,127.0644865,37.3930492,7.549834435,3.464101615,2.828427125,2.449489743,1,0,4
木夭丑友什678388,127.1365225,37.44827638,16.24807681,5.385164807,10.90871211,10.29563014,1,1,3
木夭丑友什706385,127.1681899,37.44566541,7.416198487,0,4.582575695,3.16227766,1,1,4
木夭丑友什680376,127.1388356,37.43746702,12.12435565,3.872983346,8.185352772,7.071067812,1,1,2
木夭丑友什683382,127.142201,37.44288548,19.49358869,9.110433579,11.5758369,6.708203932,1,1,5
木夭丑友什707393,127.1692886,37.45287946,16.76305461,6.633249581,10.81665383,7.483314774,1,1,5
木夭丑友什681385,127.1399271,37.44558269,14.14213562,5.477225575,8.94427191,5.830951895,1,1,0
木夭丑友什702388,127.1636557,37.44835671,11.26942767,5.291502622,6.92820323,4.795831523,1,1,2
木夭丑友什674370,127.1320798,37.43203796,12.28820573,3.31662479,8.062257748,6,1,1,2
木夭丑友什696376,127.1569218,37.4375209,10.95445115,3.16227766,8.426149773,9,1,1,2
木夭丑友什694387,127.1546155,37.44742927,11.22497216,4.795831523,7.810249676,3.741657387,1,1,2
木夭丑友什675367,127.1332233,37.42933739,12.24744871,3.16227766,7.874007874,5.477225575,1,1,2
木夭丑友什676368,127.1343492,37.43024225,15.90597372,5.196152423,12.24744871,7,1,1,3
木夭丑友什699375,127.160317,37.43662933,14.56021978,5,10.44030651,9.38083152,1,1,3
木夭丑友什641368,127.0947897,37.43011326,11.44552314,7.681145748,4.242640687,3.605551275,0,0,1
木夭丑友什702396,127.1636234,37.45556758,20.09975124,7.549834435,13.34166406,4.898979486,1,1,5
木夭丑友什677385,127.1354051,37.44556883,15.71623365,6.244997998,10.48808848,5.567764363,1,1,0
木夭丑友什703388,127.1647863,37.44835992,5.567764363,0,3.464101615,2.449489743,1,1,4
木夭丑友什680379,127.1388226,37.4401711,16.21727474,4.582575695,12.04159458,10.63014581,1,1,3
木夭丑友什670377,127.1275273,37.4383333,13.11487705,4.472135955,8,3.16227766,1,1,2
木夭丑友什675383,127.1331529,37.44375912,11.95826074,5.385164807,7.615773106,4,1,1,2
木夭丑友什686365,127.1456647,37.42757259,9.746794345,3.31662479,5.477225575,4.898979486,1,1,1
木夭丑友什699386,127.1602722,37.44654429,16.30950643,5.744562647,11.5758369,6.557438524,1,1,5
木夭丑友什708404,127.1703757,37.46279756,13.82027496,5.099019514,8.94427191,5,1,1,0
木夭丑友什682389,127.1410404,37.44919156,15.5241747,4.795831523,11.04536102,9.591663047,1,1,3
木夭丑友什705376,127.1670953,37.43754999,9.695359715,3.31662479,6.8556546,6.92820323,1,1,2
木夭丑友什704380,127.1659489,37.44115224,13.92838828,4.358898944,9.539392014,6.633249581,1,1,0
木夭丑友什677345,127.1355799,37.40951445,13.85640646,3.464101615,7.280109889,3.464101615,0,1,2
木夭丑友什683388,127.1421753,37.44829363,15.03329638,5.916079783,10.77032961,7.615773106,1,1,3
木夭丑友什709393,127.1715499,37.45288576,13.52774926,4.69041576,7.071067812,4.472135955,1,1,2
木夭丑友什681342,127.1401127,37.4068242,8.94427191,3,4.242640687,3.605551275,1,0,1
木夭丑友什679384,127.1376705,37.44467442,14.96662955,4.795831523,9.591663047,5.656854249,1,1,0
木夭丑友什670374,127.1275407,37.43562923,14.10673598,5.656854249,8.366600265,5.099019514,1,1,0
木夭丑友什686376,127.1456179,37.43748755,10.39230485,3.16227766,8.717797887,4.69041576,1,1,2
木夭丑友什691365,127.1513159,37.4275894,9.848857802,4.69041576,6,4,1,1,1
木夭丑友什703398,127.164746,37.45737351,12.32882801,4.123105626,8.602325267,5.656854249,1,1,2
木夭丑友什702374,127.1637122,37.43573767,16.30950643,7.681145748,8.888194417,6,1,1,0
木夭丑友什704397,127.1658807,37.45647535,19.72308292,6.244997998,12.28820573,6.708203932,1,1,5
木夭丑友什704388,127.1659168,37.44836312,18.57417562,7.549834435,11.26942767,7.071067812,1,1,5
木夭丑友什668380,127.125253,37.44103022,17.29161647,4.69041576,12.08304597,6.92820323,1,1,5
木夭丑友什674382,127.1320268,37.44285425,15.49193338,6.244997998,11.09053651,6.633249581,1,1,0
木夭丑友什689382,127.1489838,37.44290582,17.08800749,5.291502622,10.77032961,6.782329983,1,1,5
木夭丑友什702398,127.1636153,37.45737029,6.164414003,0,3.872983346,3.464101615,1,1,4
木夭丑友什679388,127.1376531,37.44827985,15.87450787,4,12,10.44030651,1,1,3
木夭丑友什608327,127.0577083,37.39302404,8.485281374,5.291502622,3.741657387,3.31662479,1,0,1
木夭丑友什707385,127.1693204,37.44566858,9.949874371,4.795831523,5.477225575,2,1,1,1
木夭丑友什677386,127.1354007,37.44647018,14.10673598,5.099019514,9.327379053,5.916079783,1,1,0
木夭丑友什697390,127.1579947,37.4501432,14.86606875,7.416198487,8.888194417,2.645751311,1,0,0
木夭丑友什649399,127.1036845,37.45808588,4.358898944,3,2.449489743,3.16227766,1,0,4
木夭丑友什701386,127.1625333,37.44655077,15.03329638,5.916079783,10.09950494,6.782329983,1,1,0
木夭丑友什706379,127.1682137,37.44025725,18.13835715,7.549834435,11.83215957,1.732050808,0,1,5
木夭丑友什632322,127.0848461,37.38861554,13.26649916,7.681145748,5.656854249,2,1,0,1
木夭丑友什703373,127.1648466,37.43483952,13.34166406,4.69041576,8.306623863,6.164414003,1,1,2
木夭丑友什682371,127.1411179,37.43296711,17.2626765,6.480740698,11.3137085,6.633249581,1,1,5
木夭丑友什702399,127.1636113,37.45827165,13.26649916,4.898979486,9.539392014,5.830951895,1,1,0
木夭丑友什675386,127.1331397,37.44646319,16.2788206,4.358898944,12.24744871,10.09950494,1,1,3
木夭丑友什656273,127.112185,37.34454066,7.615773106,3,5.567764363,3,1,1,1
木夭丑友什687383,127.1467187,37.44380044,15.13274595,3.741657387,11.74734012,10.67707825,1,1,3
木夭丑友什709397,127.1715341,37.4564912,7.937253933,3.16227766,4.472135955,3,0,1,1
木夭丑友什706380,127.1682098,37.44115861,21.61018278,8.544003745,15.39480432,2.449489743,1,1,5
木夭丑友什672333,127.1299833,37.39868055,10.67707825,5.385164807,6.8556546,4.358898944,1,1,2
木夭丑友什705404,127.1669834,37.46278804,16.2788206,5.291502622,11.44552314,6.480740698,1,1,5
木夭丑友什705379,127.1670833,37.44025407,12.56980509,4.795831523,9.219544457,6.480740698,1,1,2
木夭丑友什707405,127.169241,37.46369575,10.95445115,3,8.185352772,3.872983346,1,1,2
木夭丑友什699387,127.1602681,37.44744565,15.62049935,5,10.72380529,6.08276253,1,1,0
木夭丑友什696375,127.1569259,37.43661954,8.94427191,3.31662479,7.810249676,9.643650761,1,1,2
木夭丑友什699391,127.1602518,37.45105108,12.84523258,4.582575695,8.888194417,7.211102551,1,1,2
木夭丑友什642302,127.0962392,37.37062741,5.916079783,2.449489743,4.472135955,2.449489743,1,0,4
木夭丑友什700398,127.161354,37.45736383,16.30950643,6.8556546,10.53565375,6.782329983,1,1,5
木夭丑友什686303,127.1459277,37.37168798,9.695359715,4.795831523,4.242640687,2.236067977,1,1,1
