,gid,pa,ep,fp,yp,nb,year,cctv,light
1789,木夭丑友什68ba40bb,1.899,237.0,1528.0,638.0,13.0,1,0,0
1790,木夭丑友什68ba41aa,1.899,57.0,382.0,170.0,4.0,1,0,0
1791,木夭丑友什68ba41ab,1.899,491.0,984.0,90.0,10.0,1,0,0
1792,木夭丑友什68ba41ba,0.518,923.0,1582.0,113.0,10.0,1,0,0
1797,木夭丑友什68bb30aa,2.342,41.0,157.0,13.0,28.0,0,1,1
1798,木夭丑友什68bb30ab,3.045,77.0,204.0,20.0,12.0,0,0,0
1803,木夭丑友什68bb31ba,2.315,0.0,0.0,0.0,9.0,0,0,0
1804,木夭丑友什68bb31bb,3.28,29.0,104.0,21.0,20.0,1,0,0
1813,木夭丑友什68bb34aa,2.013,130.0,473.0,131.0,22.0,0,1,1
1814,木夭丑友什68bb34ab,2.013,197.0,560.0,106.0,27.0,0,1,1
1815,木夭丑友什68bb34ba,2.013,12.0,18.0,0.0,8.0,0,0,0
1816,木夭丑友什68bb34bb,2.309,158.0,453.0,123.0,7.0,1,0,0
1817,木夭丑友什68bb35aa,1.441,182.0,797.0,226.0,53.0,1,1,1
1822,木夭丑友什68bb36ab,1.643,108.0,260.0,28.0,31.0,0,1,1
1823,木夭丑友什68bb36ba,1.643,298.0,696.0,104.0,87.0,0,1,1
1824,木夭丑友什68bb36bb,1.104,254.0,480.0,51.0,117.0,0,1,1
1826,木夭丑友什68bb37ab,2.016,212.0,747.0,217.0,36.0,0,0,0
1827,木夭丑友什68bb37ba,1.383,142.0,590.0,182.0,14.0,1,1,1
1828,木夭丑友什68bb37bb,1.383,13.0,22.0,0.0,213.0,0,1,1
1829,木夭丑友什68bb38aa,1.383,271.0,754.0,80.0,185.0,0,1,1
1830,木夭丑友什68bb38ab,1.027,611.0,1242.0,128.0,308.0,0,1,1
1831,木夭丑友什68bb38ba,0.75,36.0,83.0,16.0,3.0,0,1,1
1833,木夭丑友什68bb39aa,0.458,269.0,871.0,192.0,27.0,0,1,1
1834,木夭丑友什68bb39ab,0.458,563.0,2019.0,531.0,14.0,1,0,0
1835,木夭丑友什68bb39ba,1.299,212.0,692.0,166.0,6.0,1,0,0
1838,木夭丑友什68bb40ab,1.32,22.0,76.0,16.0,1.0,1,0,0
1839,木夭丑友什68bb40ba,1.32,26.0,140.0,40.0,60.0,1,0,0
1840,木夭丑友什68bb40bb,0.453,105.0,903.0,476.0,58.0,1,0,0
1841,木夭丑友什68bb41aa,0.453,53.0,404.0,182.0,31.0,1,0,0
1845,木夭丑友什69aa29ab,3.73,0.0,0.0,0.0,1.0,0,0,0
1851,木夭丑友什69aa30bb,2.788,0.0,0.0,0.0,1.0,0,0,0
1853,木夭丑友什69aa31ab,2.678,0.0,0.0,0.0,7.0,0,1,1
1854,木夭丑友什69aa31ba,2.678,56.0,143.0,42.0,54.0,0,1,1
1855,木夭丑友什69aa31bb,3.37,0.0,0.0,0.0,2.0,1,0,0
1856,木夭丑友什69aa32aa,3.37,0.0,57.0,30.0,14.0,1,0,0
1857,木夭丑友什69aa32ab,3.37,13.0,145.0,54.0,14.0,1,0,0
1863,木夭丑友什69aa33bb,3.524,0.0,7.0,0.0,6.0,0,0,0
1864,木夭丑友什69aa34aa,2.715,0.0,17.0,0.0,13.0,1,0,0
1865,木夭丑友什69aa34ab,2.715,102.0,269.0,46.0,20.0,0,0,0
1866,木夭丑友什69aa34ba,2.715,16.0,34.0,0.0,1.0,0,0,0
1867,木夭丑友什69aa34bb,2.309,246.0,503.0,43.0,4.0,1,0,0
1868,木夭丑友什69aa35aa,0.249,135.0,377.0,47.0,50.0,1,1,1
1869,木夭丑友什69aa35ab,0.249,66.0,244.0,45.0,47.0,1,1,1
1870,木夭丑友什69aa35ba,0.249,0.0,0.0,0.0,5.0,1,1,1
