gid,nb
дь_64ba30aa,19
дь_64ba30ab,16
дь_64ba30ba,2
дь_64ba30bb,8
дь_64ba31aa,9
дь_64ba31ab,0
дь_64ba31ba,1
дь_64ba31bb,2
дь_64ba32aa,0
дь_64ba32ab,0
дь_64ba32ba,0
дь_64ba32bb,0
дь_64ba33aa,0
дь_64ba33ab,0
дь_64ba33ba,0
дь_64ba33bb,0
дь_64ba34aa,0
дь_64ba34ab,3
дь_64ba34ba,4
дь_64ba34bb,17
дь_64ba35aa,4
дь_64ba35ab,5
дь_64ba35ba,3
дь_64ba35bb,14
дь_64ba36aa,11
дь_64ba36ab,0
дь_64ba36ba,0
дь_64ba36bb,0
дь_64ba37aa,1
дь_64ba37ab,0
дь_64ba37ba,0
дь_64ba37bb,0
дь_64ba38aa,0
дь_64ba38ab,2
дь_64ba38ba,1
дь_64ba38bb,1
дь_64ba39aa,14
дь_64ba39ab,3
дь_64ba39ba,3
дь_64ba39bb,0
дь_64ba40aa,0
дь_64bb26ba,0
дь_64bb26bb,2
дь_64bb27aa,0
дь_64bb27ab,0
дь_64bb27ba,1
дь_64bb27bb,0
дь_64bb28aa,1
дь_64bb28ab,5
дь_64bb28ba,3
дь_64bb28bb,3
дь_64bb29aa,7
дь_64bb29ab,3
дь_64bb29ba,1
дь_64bb29bb,4
дь_64bb30aa,4
дь_64bb30ab,2
дь_64bb30ba,8
дь_64bb30bb,1
дь_64bb31aa,0
дь_64bb31ab,0
дь_64bb31ba,0
дь_64bb31bb,0
дь_64bb32aa,0
дь_64bb32ab,0
дь_64bb32ba,0
дь_64bb32bb,0
дь_64bb33aa,0
дь_64bb33ab,0
дь_64bb33ba,0
дь_64bb33bb,0
дь_64bb34aa,0
дь_64bb34ab,0
дь_64bb34ba,0
дь_64bb34bb,6
дь_64bb35aa,0
дь_64bb35ab,3
дь_64bb35ba,7
дь_64bb35bb,12
дь_64bb36aa,3
дь_64bb36ab,6
дь_64bb36ba,23
дь_64bb36bb,2
дь_64bb37aa,0
дь_64bb37ab,2
дь_64bb37ba,0
дь_64bb37bb,0
дь_64bb38aa,0
дь_64bb38ab,0
дь_64bb38ba,0
дь_64bb38bb,1
дь_64bb39aa,14
дь_64bb39ab,10
дь_64bb39ba,4
дь_64bb39bb,2
дь_64bb40aa,6
дь_65aa26ab,0
дь_65aa26ba,1
дь_65aa26bb,2
дь_65aa27aa,2
дь_65aa27ab,1
дь_65aa27ba,5
дь_65aa27bb,6
дь_65aa28aa,11
дь_65aa28ab,14
дь_65aa28ba,10
дь_65aa28bb,20
дь_65aa29aa,0
дь_65aa29ab,1
дь_65aa29ba,10
дь_65aa29bb,8
дь_65aa30aa,4
дь_65aa30ab,8
дь_65aa30ba,0
дь_65aa30bb,0
дь_65aa31aa,0
дь_65aa31ab,0
дь_65aa31ba,0
дь_65aa31bb,0
дь_65aa32aa,0
дь_65aa32ab,0
дь_65aa32ba,0
дь_65aa32bb,0
