소재지지번주소,위도,경도,설치개수,구,동,세부주소
경기도 성남시 분당구 서현동 23-10번지,37.38505996,127.1401363,1,분당구,서현동,23-10번지
경기도 성남시 분당구 율동 천은정사입구 2호번,37.38511558,127.1553804,1,분당구,율동 천,은정사입구 2호번
경기도 성남시 분당구 율동 천은정사입구 3호번,37.38511558,127.1553804,1,분당구,율동 천,은정사입구 3호번
경기도 성남시 분당구 운중동 490-8번지 10호,37.39193737,127.0552672,1,분당구,운중동,490-8번지 10호
경기도 성남시 분당구 운중동 483-7번지 1호,37.39121663,127.0518996,1,분당구,운중동,483-7번지 1호
경기도 성남시 분당구 운중동 483-7번지 2호,37.39121663,127.0518996,1,분당구,운중동,483-7번지 2호
경기도 성남시 분당구 운중동 483-7번지 3호,37.39121663,127.0518996,1,분당구,운중동,483-7번지 3호
경기도 성남시 분당구 운중동 483-7번지 4호,37.39121663,127.0518996,1,분당구,운중동,483-7번지 4호
경기도 성남시 분당구 운중동 535-1번지 2호,37.39229162,127.0499888,1,분당구,운중동,535-1번지 2호
경기도 성남시 분당구 운중동 535-1번지 4호,37.39229162,127.0499888,1,분당구,운중동,535-1번지 4호
경기도 성남시 분당구 운중동 535-1번지 6호,37.39229162,127.0499888,1,분당구,운중동,535-1번지 6호
경기도 성남시 분당구 운중동 535-1번지 8호,37.39229162,127.0499888,1,분당구,운중동,535-1번지 8호
경기도 성남시 분당구 운중동 535-1번지,37.39229162,127.0499888,1,분당구,운중동,535-1번지
경기도 성남시 분당구 운중동 535-1번지,37.39229162,127.0499888,1,분당구,운중동,535-1번지
경기도 성남시 분당구 운중동 535-1번지,37.39229162,127.0499888,1,분당구,운중동,535-1번지
경기도 성남시 분당구 이매동 30-2번지 인근,37.39863647,127.1348086,1,분당구,이매동,30-2번지 인근
경기도 성남시 분당구 이매동 30-2번지 인근,37.39863647,127.1348086,1,분당구,이매동,30-2번지 인근
경기도 성남시 분당구 이매동 42-2번지 인근,37.39844998,127.1351835,1,분당구,이매동,42-2번지 인근
경기도 성남시 분당구 이매동 42-6번지 인근,37.39806411,127.1354025,1,분당구,이매동,42-6번지 인근
경기도 성남시 분당구 이매동 41-13번지 인근,37.39790622,127.1359916,1,분당구,이매동,41-13번지 인근
경기도 성남시 분당구 이매동 43-3번지 인근,37.3970248,127.1362163,1,분당구,이매동,43-3번지 인근
경기도 성남시 분당구 이매동 131-8번지,37.40512112,127.1233598,1,분당구,이매동,131-8번지
경기도 성남시 분당구 야탑2동 중앙빌딩 후문 앞,37.40619383,127.1456108,1,분당구,야탑2동,중앙빌딩 후문 앞
경기도 성남시 분당구 야탑2동 파출소앞,37.40619383,127.1456108,1,분당구,야탑2동,파출소앞
경기도 성남시 분당구 야탑2동 주민센터 앞,37.40619383,127.1456108,1,분당구,야탑2동,주민센터 앞
경기도 성남시 분당구 야탑2동 탑마을타워빌 입구,37.40619383,127.1456108,1,분당구,야탑2동,탑마을타워빌 입구
경기도 성남시 분당구 야탑2동 한마음교회 앞,37.40619383,127.1456108,1,분당구,야탑2동,한마음교회 앞
경기도 성남시 분당구 야탑2동 한마음교회 앞,37.40619383,127.1456108,1,분당구,야탑2동,한마음교회 앞
경기도 성남시 분당구 야탑2동 디에스식자재마트 앞,37.40619383,127.1456108,1,분당구,야탑2동,디에스식자재마트 앞
경기도 성남시 분당구 야탑2동 디에스식자재마트 앞,37.40619383,127.1456108,1,분당구,야탑2동,디에스식자재마트 앞
경기도 성남시 분당구 대장동 425번지,37.37582551,127.0597144,1,분당구,대장동,425번지
경기도 성남시 분당구 대장동 423-1번지,37.37550438,127.0601249,1,분당구,대장동,423-1번지
경기도 성남시 분당구 대장동 435-3번지,37.37669467,127.0602343,1,분당구,대장동,435-3번지
경기도 성남시 분당구 대장동 435-3번지,37.37669467,127.0602343,1,분당구,대장동,435-3번지
경기도 성남시 분당구 대장동 445번지,37.37756728,127.060054,1,분당구,대장동,445번지
경기도 성남시 분당구 대장동 105-1번지,37.37286771,127.0674062,1,분당구,대장동,105-1번지
경기도 성남시 분당구 대장동 114-13번지,37.37268224,127.0678827,1,분당구,대장동,114-13번지
경기도 성남시 분당구 대장동 156-5번지,37.36831576,127.069506,1,분당구,대장동,156-5번지
경기도 성남시 분당구 대장동 153-7번지,37.36834182,127.0693815,1,분당구,대장동,153-7번지
경기도 성남시 분당구 대장동 153-7번지,37.36834182,127.0693815,1,분당구,대장동,153-7번지
경기도 성남시 분당구 대장동 234-4번지,37.36451274,127.0682998,1,분당구,대장동,234-4번지
경기도 성남시 분당구 대장동 234-4번지,37.36451274,127.0682998,1,분당구,대장동,234-4번지
경기도 성남시 분당구 대장동 318-2번지,37.36149668,127.067479,1,분당구,대장동,318-2번지
경기도 성남시 분당구 이매동 9-14번지 인근,37.40033382,127.1315702,1,분당구,이매동,9-14번지 인근
경기도 성남시 분당구 이매동 77번지 인근,37.39797402,127.1317103,1,분당구,이매동,77번지 인근
경기도 성남시 분당구 이매동 75-3번지 인근,37.39811479,127.1312456,1,분당구,이매동,75-3번지 인근
경기도 성남시 분당구 이매동 82-10번지 이매동베스티아아파트,37.39916071,127.1325663,1,분당구,이매동,82-10번지 이매동베스티아아파트
경기도 성남시 분당구 이매동 10-6번지 인근,37.39938166,127.1319765,1,분당구,이매동,10-6번지 인근
경기도 성남시 분당구 이매동 81-6번지 인근,37.39847479,127.1324161,1,분당구,이매동,81-6번지 인근
경기도 성남시 분당구 이매동 81-15번지 인근,37.39845338,127.1331844,1,분당구,이매동,81-15번지 인근
경기도 성남시 분당구 이매동 131-8번지,37.40512112,127.1233598,1,분당구,이매동,131-8번지
경기도 성남시 분당구 이매동 131-8번지,37.40512112,127.1233598,1,분당구,이매동,131-8번지
경기도 성남시 분당구 이매동 131-8번지,37.40512112,127.1233598,1,분당구,이매동,131-8번지
경기도 성남시 분당구 이매동 138번지,37.39957761,127.1218882,1,분당구,이매동,138번지
경기도 성남시 분당구 이매동 138번지,37.39957761,127.1218882,1,분당구,이매동,138번지
경기도 성남시 분당구 이매동 138번지,37.39957761,127.1218882,1,분당구,이매동,138번지
경기도 성남시 분당구 이매동 138번지,37.39957761,127.1218882,1,분당구,이매동,138번지
경기도 성남시 분당구 이매동 138번지,37.39957761,127.1218882,1,분당구,이매동,138번지
경기도 성남시 분당구 이매동 138번지,37.39957761,127.1218882,1,분당구,이매동,138번지
경기도 성남시 분당구 이매동 146-5번지,37.39502617,127.1229689,1,분당구,이매동,146-5번지
경기도 성남시 분당구 이매동 146-5번지,37.39502617,127.1229689,1,분당구,이매동,146-5번지
