gid,pa,ep,fp,yp,cctv,light,pop,nb
¤ì‚¬60ab31bb,3.708,,,,0,0,,0
¤ì‚¬60ab32aa,3.37,,,,0,0,,0
¤ì‚¬60ab32ab,5.564,,,,0,0,,0
¤ì‚¬60ab32ba,5.564,,,,0,4,,0
¤ì‚¬60ab32bb,2.885,,0,,0,0,9,7
¤ì‚¬60ab33aa,8.922,,,,0,0,,0
¤ì‚¬60ab33ab,8.922,,,,0,0,,0
¤ì‚¬60ab33ba,8.922,,,,0,0,,0
¤ì‚¬60ab33bb,9.15,,,,0,0,,0
¤ì‚¬60ab34aa,9.338,,,,0,0,,0
¤ì‚¬60ab34ab,9.998,,,,0,0,,0
¤ì‚¬60ab34ba,9.998,,,,0,0,,0
¤ì‚¬60ab34bb,7.789,,,,0,0,,0
¤ì‚¬60ab35aa,7.615,,,,0,0,,0
¤ì‚¬60ab35ab,6.901,,,,0,0,,0
¤ì‚¬60ab35ba,6.901,,,,0,0,,0
¤ì‚¬60ab35bb,6.544,,,,0,0,,0
¤ì‚¬60ab36aa,6.255,,,,0,0,,0
¤ì‚¬60ab36ab,6.537,,,,0,0,,0
¤ì‚¬60ab36ba,6.483,,,,0,0,,0
¤ì‚¬60ab36bb,6.301,,,,0,0,,0
¤ì‚¬60ba29aa,5.571,,,,0,0,,0
¤ì‚¬60ba29ab,5.571,0,0,,0,0,0,1
¤ì‚¬60ba29ba,5.571,0,0,,0,0,0,0
¤ì‚¬60ba29bb,6.082,,,,0,0,,0
¤ì‚¬60ba30aa,5.199,,,,0,0,,0
¤ì‚¬60ba30ab,5.199,,,,0,0,,0
¤ì‚¬60ba30ba,5.199,,,,0,0,,0
¤ì‚¬60ba30bb,4.4,,,,0,0,,0
¤ì‚¬60ba31aa,4.912,,,,0,0,,0
¤ì‚¬60ba31ab,4.912,,,,0,0,,0
¤ì‚¬60ba31ba,4.912,,,,0,0,,0
¤ì‚¬60ba31bb,3.203,,,,0,0,,0
¤ì‚¬60ba32aa,5.564,,,,0,0,,0
¤ì‚¬60ba32ab,5.564,,,,0,0,,0
¤ì‚¬60ba32ba,5.564,21,55,0,0,14,106,3
¤ì‚¬60ba32bb,2.144,0,9,0,0,0,17,2
¤ì‚¬60ba33aa,2.403,,,,0,0,,0
¤ì‚¬60ba33ab,9.739,,,,0,0,,0
¤ì‚¬60ba33ba,9.739,,,,0,0,,0
¤ì‚¬60ba33bb,9.935,,,,0,0,,0
¤ì‚¬60ba34aa,9.998,,,,0,0,,0
¤ì‚¬60ba34ab,9.998,,,,0,0,,0
¤ì‚¬60ba34ba,9.998,,,,0,0,,0
¤ì‚¬60ba34bb,7.789,,,,0,0,,0
¤ì‚¬60ba35aa,7.615,,,,0,0,,0
¤ì‚¬60ba35ab,6.901,,,,0,0,,0
¤ì‚¬60ba35ba,6.901,,,,0,0,,0
¤ì‚¬60ba35bb,6.544,,,,0,0,,0
¤ì‚¬60ba36aa,6.255,,,,0,0,,0
¤ì‚¬60ba36ab,6.483,,,,0,0,,0
¤ì‚¬60ba36ba,6.483,,,,0,0,,0
¤ì‚¬60ba36bb,6.301,,,,0,0,,0
¤ì‚¬60bb29aa,5.275,,0,,1,0,7,2
¤ì‚¬60bb29ab,4.753,27,66,9,1,0,143,5
¤ì‚¬60bb29ba,5.444,,,,0,0,,0
¤ì‚¬60bb29bb,5.753,,,,0,0,,0
¤ì‚¬60bb30aa,5.571,,,,0,0,,0
¤ì‚¬60bb30ab,5.571,,,,0,0,,0
¤ì‚¬60bb30ba,5.571,,,,0,0,,0
¤ì‚¬60bb30bb,4.32,,,,0,0,,1
¤ì‚¬60bb31aa,4.912,,,,0,0,,0
¤ì‚¬60bb31ab,2.927,,,,0,0,,0
¤ì‚¬60bb31ba,2.927,,,,0,0,,0
¤ì‚¬60bb31bb,2.927,,,,0,0,,0
¤ì‚¬60bb32aa,5.564,,,,0,18,,0
¤ì‚¬60bb32ab,5.564,0,0,,0,0,6,1
¤ì‚¬60bb32ba,5.564,93,253,51,0,29,480,8
