,gid,lon,lat,인구_전체,인구_여자,인구_남자,유소년_전체,유소년_여자,유소년_남자,고령_전체,고령_여자,고령_남자,건축물수,공동주택수,단독주택수,사용승인일,cctv,보안등,security,security_encoded
809,ㅼㅤㄱㅝㅀ698386,127.1591417,37.44654104,613.0,297.0,316.0,46.0,19.0,27.0,151.0,79.0,72.0,41.0,12.0,27.0,1995.59,1,12,13,1
810,ㅼㅤㄱㅝㅀ701380,127.1625575,37.44114261,318.0,168.0,150.0,42.0,23.0,19.0,58.0,31.0,27.0,26.0,4.0,11.0,1992.62,2,7,9,1
836,ㅼㅤㄱㅝㅀ656277,127.1121665,37.34814614,338.0,178.0,160.0,43.0,21.0,22.0,36.0,24.0,12.0,7.0,2.0,5.0,1995.71,0,1,1,1
845,ㅼㅤㄱㅝㅀ669381,127.126379,37.44193516,223.0,105.0,118.0,11.0,0.0,7.0,64.0,30.0,34.0,26.0,3.0,19.0,1991.67,0,3,3,1
850,ㅼㅤㄱㅝㅀ673379,127.1309097,37.44014665,394.0,189.0,205.0,23.0,9.0,14.0,75.0,37.0,38.0,31.0,8.0,7.0,1996.94,1,5,6,1
857,ㅼㅤㄱㅝㅀ696387,127.1568765,37.44743585,414.0,222.0,192.0,34.0,20.0,14.0,112.0,63.0,49.0,46.0,7.0,38.0,1993.67,0,14,14,1
861,ㅼㅤㄱㅝㅀ683375,127.1422311,37.43657598,250.0,123.0,127.0,37.0,21.0,16.0,34.0,19.0,15.0,19.0,3.0,4.0,1993.26,1,5,6,1
876,ㅼㅤㄱㅝㅀ698395,127.1591049,37.45465326,167.0,76.0,91.0,6.0,0.0,0.0,46.0,26.0,20.0,31.0,2.0,25.0,1986.9,1,8,9,1
879,ㅼㅤㄱㅝㅀ695381,127.1557708,37.44202441,513.0,260.0,253.0,18.0,8.0,10.0,133.0,85.0,48.0,75.0,10.0,62.0,1988.69,0,18,18,1
881,ㅼㅤㄱㅝㅀ646369,127.1004362,37.43103386,365.0,186.0,179.0,37.0,17.0,20.0,94.0,52.0,42.0,3.0,2.0,1.0,2019.0,0,0,0,0
883,ㅼㅤㄱㅝㅀ706386,127.1681859,37.44656677,356.0,165.0,191.0,14.0,8.0,6.0,61.0,33.0,28.0,36.0,1.0,27.0,1990.92,0,5,5,1
888,ㅼㅤㄱㅝㅀ700378,127.1614352,37.43933666,460.0,233.0,227.0,44.0,24.0,20.0,83.0,46.0,37.0,29.0,8.0,15.0,1991.82,0,4,4,1
891,ㅼㅤㄱㅝㅀ704386,127.1659248,37.4465604,279.0,141.0,138.0,12.0,0.0,7.0,57.0,34.0,23.0,29.0,4.0,13.0,1993.55,0,8,8,1
893,ㅼㅤㄱㅝㅀ689366,127.1490512,37.42848407,714.0,359.0,355.0,54.0,30.0,24.0,127.0,72.0,55.0,17.0,6.0,6.0,1994.18,2,3,5,1
894,ㅼㅤㄱㅝㅀ678384,127.13654,37.44467095,505.0,266.0,239.0,31.0,19.0,12.0,108.0,60.0,48.0,31.0,11.0,15.0,1993.47,1,5,6,1
