,gid,lon,lat,인구_전체,인구_여자,인구_남자,유소년_전체,유소년_여자,유소년_남자,고령_전체,고령_여자,고령_남자,건축물수,공동주택수,단독주택수,사용승인일,cctv,보안등,security,security_encoded
180,ㅼㅤㄱㅝㅀ684388,127.1433058,37.44829705,188.0,99.0,89.0,22.0,10.0,12.0,46.0,27.0,19.0,17.0,5.0,6.0,1996.76,2,3,5,1
182,ㅼㅤㄱㅝㅀ680386,127.1387923,37.4464806,445.0,221.0,224.0,31.0,16.0,15.0,88.0,49.0,39.0,35.0,4.0,27.0,1992.63,1,8,9,1
186,ㅼㅤㄱㅝㅀ675369,127.1332145,37.43114011,289.0,157.0,132.0,17.0,11.0,6.0,57.0,35.0,22.0,27.0,5.0,14.0,1999.69,0,4,4,1
194,ㅼㅤㄱㅝㅀ697389,127.1579989,37.44924185,605.0,327.0,278.0,58.0,30.0,28.0,151.0,89.0,62.0,23.0,4.0,12.0,1994.78,2,4,6,1
196,ㅼㅤㄱㅝㅀ700391,127.1613824,37.45105433,377.0,187.0,190.0,25.0,12.0,13.0,90.0,47.0,43.0,56.0,1.0,48.0,1989.62,0,11,11,1
199,ㅼㅤㄱㅝㅀ681299,127.1402979,37.36806546,143.0,71.0,72.0,10.0,0.0,0.0,29.0,15.0,14.0,5.0,2.0,3.0,1998.4,0,0,0,0
202,ㅼㅤㄱㅝㅀ682375,127.1411007,37.43657255,579.0,275.0,304.0,39.0,24.0,15.0,68.0,35.0,33.0,15.0,1.0,3.0,1997.6,1,7,8,1
203,ㅼㅤㄱㅝㅀ681378,127.1399574,37.43927319,487.0,221.0,266.0,12.0,0.0,10.0,117.0,70.0,47.0,105.0,1.0,99.0,1989.51,3,17,20,1
204,ㅼㅤㄱㅝㅀ705377,127.1670913,37.43845135,110.0,51.0,59.0,0.0,0.0,0.0,26.0,16.0,10.0,15.0,1.0,12.0,1987.73,1,3,4,1
213,ㅼㅤㄱㅝㅀ657306,127.1131614,37.37428949,60.0,34.0,26.0,0.0,0.0,0.0,10.0,0.0,0.0,7.0,1.0,5.0,1994.0,0,0,0,0
230,ㅼㅤㄱㅝㅀ705391,127.1670354,37.45107039,721.0,351.0,370.0,55.0,28.0,27.0,158.0,93.0,65.0,85.0,26.0,53.0,1992.35,1,9,10,1
232,ㅼㅤㄱㅝㅀ704398,127.1658767,37.45737671,296.0,143.0,153.0,17.0,7.0,10.0,78.0,43.0,35.0,31.0,11.0,14.0,1994.0,0,7,7,1
233,ㅼㅤㄱㅝㅀ681371,127.1399876,37.43296368,220.0,110.0,110.0,14.0,8.0,6.0,43.0,24.0,19.0,18.0,4.0,14.0,1992.22,0,6,6,1
248,ㅼㅤㄱㅝㅀ674368,127.1320886,37.43023524,868.0,445.0,423.0,62.0,27.0,35.0,184.0,101.0,83.0,36.0,12.0,18.0,1998.56,0,6,6,1
249,ㅼㅤㄱㅝㅀ689364,127.1490596,37.42668135,185.0,91.0,94.0,14.0,7.0,7.0,45.0,22.0,23.0,12.0,4.0,6.0,1993.67,0,6,6,1
252,ㅼㅤㄱㅝㅀ669382,127.1263745,37.44283651,376.0,183.0,193.0,10.0,0.0,7.0,104.0,62.0,42.0,65.0,2.0,59.0,1988.12,1,12,13,1
254,ㅼㅤㄱㅝㅀ704374,127.1659729,37.43574408,330.0,157.0,173.0,40.0,15.0,25.0,49.0,30.0,19.0,22.0,6.0,14.0,1992.95,0,6,6,1
255,ㅼㅤㄱㅝㅀ672405,127.1296637,37.46357835,223.0,93.0,130.0,21.0,11.0,10.0,24.0,12.0,12.0,15.0,1.0,13.0,2007.47,1,1,2,1
257,ㅼㅤㄱㅝㅀ705387,127.1670514,37.44746495,213.0,112.0,101.0,17.0,8.0,9.0,42.0,26.0,16.0,18.0,1.0,13.0,1990.89,0,4,4,1
265,ㅼㅤㄱㅝㅀ672382,127.1297659,37.44284719,491.0,221.0,270.0,23.0,11.0,12.0,117.0,66.0,51.0,97.0,1.0,89.0,1986.81,0,6,6,1
266,ㅼㅤㄱㅝㅀ690408,127.1500051,37.46634445,100.0,50.0,50.0,20.0,10.0,10.0,13.0,7.0,6.0,10.0,1.0,9.0,2017.4,0,0,0,0
272,ㅼㅤㄱㅝㅀ690368,127.150173,37.43029014,238.0,114.0,124.0,16.0,9.0,7.0,45.0,28.0,17.0,23.0,8.0,3.0,1993.61,1,6,7,1
280,ㅼㅤㄱㅝㅀ679346,127.1378355,37.41042275,316.0,148.0,168.0,21.0,13.0,8.0,33.0,17.0,16.0,15.0,1.0,13.0,1996.27,0,5,5,1
282,ㅼㅤㄱㅝㅀ680387,127.138788,37.44738195,261.0,114.0,147.0,14.0,0.0,9.0,55.0,30.0,25.0,34.0,1.0,21.0,1989.45,2,5,7,1
283,ㅼㅤㄱㅝㅀ673382,127.1308964,37.44285072,349.0,168.0,181.0,12.0,6.0,6.0,84.0,47.0,37.0,50.0,2.0,36.0,1988.94,1,6,7,1
286,ㅼㅤㄱㅝㅀ705401,127.1669954,37.46008397,572.0,297.0,275.0,32.0,16.0,16.0,134.0,67.0,67.0,34.0,16.0,11.0,1997.41,0,8,8,1
288,ㅼㅤㄱㅝㅀ695383,127.1557625,37.44382713,246.0,94.0,152.0,0.0,0.0,0.0,84.0,42.0,42.0,54.0,1.0,19.0,1986.57,1,8,9,1
301,ㅼㅤㄱㅝㅀ702401,127.1636032,37.46007437,90.0,48.0,42.0,6.0,0.0,0.0,15.0,9.0,6.0,5.0,1.0,4.0,1997.8,0,1,1,1
303,ㅼㅤㄱㅝㅀ707392,127.1692926,37.4519781,668.0,322.0,346.0,50.0,20.0,30.0,119.0,66.0,53.0,59.0,25.0,33.0,1992.92,2,16,18,1
304,ㅼㅤㄱㅝㅀ677343,127.1355886,37.40771172,185.0,98.0,87.0,8.0,0.0,0.0,42.0,28.0,14.0,5.0,1.0,2.0,2000.4,0,1,1,1
324,ㅼㅤㄱㅝㅀ704390,127.1659088,37.45016584,302.0,145.0,157.0,16.0,8.0,8.0,70.0,40.0,30.0,43.0,4.0,27.0,1990.14,2,10,12,1
331,ㅼㅤㄱㅝㅀ646390,127.1003356,37.44996229,171.0,89.0,82.0,10.0,7.0,0.0,37.0,20.0,17.0,20.0,2.0,16.0,2010.7,0,3,3,1
336,ㅼㅤㄱㅝㅀ669372,127.1264193,37.43382294,287.0,146.0,141.0,33.0,15.0,18.0,62.0,34.0,28.0,22.0,5.0,11.0,1997.09,0,8,8,1
339,ㅼㅤㄱㅝㅀ610326,127.059973,37.39213111,74.0,38.0,36.0,0.0,0.0,0.0,9.0,6.0,0.0,8.0,3.0,3.0,2003.0,0,5,5,1
344,ㅼㅤㄱㅝㅀ700372,127.1614596,37.4339285,429.0,212.0,217.0,28.0,14.0,14.0,88.0,47.0,41.0,43.0,10.0,26.0,1991.52,1,16,17,1
352,ㅼㅤㄱㅝㅀ694398,127.1545699,37.4573442,566.0,268.0,298.0,50.0,15.0,35.0,103.0,53.0,50.0,59.0,29.0,26.0,1996.25,0,11,11,1
353,ㅼㅤㄱㅝㅀ701400,127.1624766,37.45916978,614.0,316.0,298.0,49.0,29.0,20.0,123.0,67.0,56.0,45.0,18.0,27.0,1992.82,0,8,8,1
355,ㅼㅤㄱㅝㅀ685384,127.1444534,37.44469502,204.0,110.0,94.0,18.0,9.0,9.0,49.0,30.0,19.0,25.0,8.0,7.0,1988.08,1,3,4,1
360,ㅼㅤㄱㅝㅀ643294,127.0974071,37.36342034,140.0,67.0,73.0,8.0,0.0,0.0,41.0,21.0,20.0,15.0,6.0,3.0,1993.2,0,4,4,1
362,ㅼㅤㄱㅝㅀ668381,127.1252486,37.44193158,441.0,227.0,214.0,22.0,8.0,14.0,122.0,71.0,51.0,35.0,9.0,23.0,1994.94,0,12,12,1
372,ㅼㅤㄱㅝㅀ707402,127.1692529,37.46099168,385.0,193.0,192.0,31.0,16.0,15.0,88.0,49.0,39.0,30.0,8.0,17.0,1993.5,1,7,8,1
387,ㅼㅤㄱㅝㅀ702381,127.163684,37.44204719,128.0,60.0,68.0,11.0,0.0,6.0,25.0,12.0,13.0,10.0,3.0,3.0,1993.1,2,6,8,1
389,ㅼㅤㄱㅝㅀ699374,127.1603211,37.43572797,489.0,229.0,260.0,23.0,9.0,14.0,109.0,60.0,49.0,86.0,2.0,80.0,1988.73,1,16,17,1
420,ㅼㅤㄱㅝㅀ674371,127.1320754,37.43293931,413.0,164.0,249.0,7.0,0.0,0.0,101.0,41.0,60.0,37.0,1.0,19.0,1993.14,1,5,6,1
427,ㅼㅤㄱㅝㅀ646303,127.100752,37.37154411,123.0,56.0,67.0,7.0,0.0,0.0,15.0,9.0,6.0,9.0,4.0,3.0,2003.44,1,4,5,1
428,ㅼㅤㄱㅝㅀ697372,127.1580686,37.43391873,197.0,94.0,103.0,8.0,0.0,0.0,45.0,25.0,20.0,55.0,4.0,37.0,1987.49,0,15,15,1
431,ㅼㅤㄱㅝㅀ702373,127.1637162,37.43483631,490.0,230.0,260.0,29.0,13.0,16.0,96.0,51.0,45.0,38.0,10.0,21.0,1990.47,1,6,7,1
442,ㅼㅤㄱㅝㅀ692352,127.1525002,37.41587502,246.0,124.0,122.0,31.0,12.0,19.0,34.0,18.0,16.0,4.0,1.0,2.0,2009.75,0,0,0,0
454,ㅼㅤㄱㅝㅀ700373,127.1614555,37.43482986,445.0,202.0,243.0,29.0,13.0,16.0,81.0,36.0,45.0,35.0,11.0,22.0,1992.63,1,9,10,1
455,ㅼㅤㄱㅝㅀ706404,127.1681142,37.46279123,372.0,189.0,183.0,30.0,16.0,14.0,79.0,46.0,33.0,29.0,7.0,14.0,1993.83,2,5,7,1
461,ㅼㅤㄱㅝㅀ707404,127.169245,37.4627944,99.0,50.0,49.0,0.0,0.0,0.0,24.0,18.0,6.0,9.0,3.0,1.0,1990.78,0,0,0,0
462,ㅼㅤㄱㅝㅀ697401,127.1579496,37.46005814,208.0,102.0,106.0,7.0,0.0,0.0,42.0,26.0,16.0,15.0,13.0,2.0,1994.2,0,7,7,1
476,ㅼㅤㄱㅝㅀ676366,127.1343579,37.42843953,78.0,40.0,38.0,0.0,0.0,0.0,20.0,11.0,9.0,9.0,1.0,1.0,2000.67,0,0,0,0
479,ㅼㅤㄱㅝㅀ639301,127.092856,37.36971443,35.0,23.0,12.0,0.0,0.0,0.0,16.0,11.0,0.0,4.0,3.0,1.0,2001.5,0,0,0,0
484,ㅼㅤㄱㅝㅀ702400,127.1636073,37.45917301,651.0,315.0,336.0,57.0,26.0,31.0,138.0,77.0,61.0,45.0,14.0,31.0,1992.98,2,9,11,1
492,ㅼㅤㄱㅝㅀ698403,127.1590721,37.46186412,93.0,48.0,45.0,8.0,6.0,0.0,19.0,8.0,11.0,12.0,2.0,7.0,1991.67,0,2,2,1
497,ㅼㅤㄱㅝㅀ655353,127.1106834,37.41664608,89.0,46.0,43.0,0.0,0.0,0.0,18.0,10.0,8.0,13.0,5.0,5.0,2013.15,0,2,2,1
498,ㅼㅤㄱㅝㅀ676382,127.1342878,37.44286126,364.0,178.0,186.0,23.0,11.0,12.0,96.0,55.0,41.0,29.0,9.0,14.0,1992.72,2,11,13,1
499,ㅼㅤㄱㅝㅀ677382,127.1354182,37.44286476,338.0,168.0,170.0,30.0,16.0,14.0,39.0,22.0,17.0,22.0,2.0,7.0,1995.0,0,4,4,1
500,ㅼㅤㄱㅝㅀ673367,127.1309628,37.42933036,308.0,150.0,158.0,14.0,9.0,0.0,70.0,37.0,33.0,22.0,7.0,3.0,1999.05,1,5,6,1
501,ㅼㅤㄱㅝㅀ682370,127.1411222,37.43206575,127.0,67.0,60.0,0.0,0.0,0.0,33.0,22.0,11.0,8.0,1.0,7.0,1995.5,0,6,6,1
511,ㅼㅤㄱㅝㅀ682382,127.1410706,37.44288206,449.0,211.0,238.0,24.0,10.0,14.0,94.0,52.0,42.0,65.0,1.0,37.0,1987.09,1,20,21,1
524,ㅼㅤㄱㅝㅀ679367,127.1377443,37.42935133,297.0,153.0,144.0,20.0,11.0,9.0,72.0,39.0,33.0,26.0,2.0,18.0,1989.77,1,7,8,1
527,ㅼㅤㄱㅝㅀ697386,127.1580112,37.44653777,248.0,138.0,110.0,8.0,0.0,0.0,70.0,45.0,25.0,30.0,2.0,21.0,1994.6,0,6,6,1
529,ㅼㅤㄱㅝㅀ669269,127.1268797,37.34098238,65.0,40.0,25.0,12.0,7.0,0.0,11.0,7.0,0.0,9.0,4.0,5.0,1998.11,0,1,1,1
531,ㅼㅤㄱㅝㅀ683371,127.1422482,37.43297054,333.0,156.0,177.0,22.0,8.0,14.0,75.0,45.0,30.0,34.0,8.0,25.0,1989.38,1,8,9,1
537,ㅼㅤㄱㅝㅀ685299,127.1448153,37.36807912,308.0,153.0,155.0,17.0,8.0,9.0,52.0,29.0,23.0,23.0,2.0,20.0,1998.96,1,3,4,1
538,ㅼㅤㄱㅝㅀ674329,127.1322605,37.39508214,148.0,70.0,78.0,15.0,7.0,8.0,22.0,11.0,11.0,9.0,3.0,6.0,2007.78,0,2,2,1
539,ㅼㅤㄱㅝㅀ672378,127.1297837,37.43924176,222.0,108.0,114.0,0.0,0.0,0.0,76.0,38.0,38.0,45.0,2.0,26.0,1986.56,1,11,12,1
542,ㅼㅤㄱㅝㅀ678375,127.1365792,37.43655873,526.0,242.0,284.0,29.0,17.0,12.0,125.0,69.0,56.0,106.0,1.0,101.0,1989.87,0,11,11,1
543,ㅼㅤㄱㅝㅀ701372,127.1625899,37.43393173,443.0,206.0,237.0,32.0,16.0,16.0,78.0,36.0,42.0,40.0,10.0,21.0,1992.85,2,10,12,1
545,ㅼㅤㄱㅝㅀ676367,127.1343536,37.42934089,370.0,175.0,195.0,12.0,0.0,7.0,88.0,53.0,35.0,33.0,7.0,14.0,1996.15,0,7,7,1
546,ㅼㅤㄱㅝㅀ619365,127.0699393,37.42732135,84.0,43.0,41.0,0.0,0.0,0.0,17.0,11.0,6.0,13.0,6.0,3.0,2014.46,0,0,0,0
553,ㅼㅤㄱㅝㅀ652359,127.107265,37.42204302,47.0,26.0,21.0,0.0,0.0,0.0,11.0,7.0,0.0,7.0,1.0,3.0,2003.0,1,0,1,1
558,ㅼㅤㄱㅝㅀ683299,127.1425566,37.36807231,142.0,76.0,66.0,13.0,8.0,0.0,23.0,15.0,8.0,12.0,2.0,6.0,1998.42,0,0,0,0
563,ㅼㅤㄱㅝㅀ678380,127.1365574,37.44106552,305.0,127.0,178.0,19.0,14.0,0.0,51.0,26.0,25.0,22.0,1.0,15.0,1990.32,0,5,5,1
586,ㅼㅤㄱㅝㅀ705399,127.1670034,37.45828126,353.0,183.0,170.0,39.0,22.0,17.0,56.0,35.0,21.0,5.0,1.0,1.0,1991.0,0,0,0,0
592,ㅼㅤㄱㅝㅀ697373,127.1580645,37.4348201,267.0,129.0,138.0,15.0,6.0,9.0,64.0,32.0,32.0,39.0,4.0,20.0,1987.44,1,11,12,1
596,ㅼㅤㄱㅝㅀ704385,127.1659288,37.44565904,100.0,46.0,54.0,6.0,0.0,0.0,15.0,10.0,0.0,9.0,1.0,4.0,1994.89,3,11,14,1
600,ㅼㅤㄱㅝㅀ707391,127.1692966,37.45107674,133.0,66.0,67.0,8.0,0.0,6.0,19.0,11.0,8.0,9.0,7.0,2.0,1994.11,2,6,8,1
607,ㅼㅤㄱㅝㅀ698391,127.1591212,37.45104783,105.0,55.0,50.0,11.0,6.0,0.0,18.0,10.0,8.0,19.0,1.0,11.0,1995.05,1,3,4,1
608,ㅼㅤㄱㅝㅀ695399,127.1556964,37.45824886,300.0,146.0,154.0,14.0,9.0,0.0,61.0,34.0,27.0,19.0,15.0,4.0,1993.68,1,4,5,1
610,ㅼㅤㄱㅝㅀ657352,127.1129482,37.41575215,51.0,26.0,25.0,6.0,0.0,0.0,13.0,7.0,6.0,6.0,1.0,3.0,2003.8,1,0,1,1
616,ㅼㅤㄱㅝㅀ694396,127.1545781,37.45554149,851.0,429.0,422.0,90.0,36.0,54.0,172.0,100.0,72.0,46.0,36.0,10.0,1998.8,0,12,12,1
621,ㅼㅤㄱㅝㅀ705395,127.1670194,37.45467583,329.0,159.0,170.0,22.0,11.0,11.0,59.0,27.0,32.0,16.0,15.0,1.0,1993.31,0,2,2,1
629,ㅼㅤㄱㅝㅀ673388,127.1308698,37.44825886,500.0,242.0,258.0,40.0,22.0,18.0,72.0,36.0,36.0,32.0,3.0,27.0,1992.03,1,6,7,1
634,ㅼㅤㄱㅝㅀ699378,127.1603048,37.43933342,476.0,239.0,237.0,41.0,22.0,19.0,100.0,54.0,46.0,42.0,5.0,31.0,1991.59,0,9,9,1
638,ㅼㅤㄱㅝㅀ674385,127.1320136,37.44555832,385.0,181.0,204.0,26.0,14.0,12.0,81.0,44.0,37.0,47.0,1.0,40.0,1992.19,0,6,6,1
644,ㅼㅤㄱㅝㅀ670385,127.1274916,37.44554415,318.0,148.0,170.0,9.0,0.0,0.0,81.0,39.0,42.0,59.0,3.0,50.0,1990.34,0,7,7,1
645,ㅼㅤㄱㅝㅀ685386,127.1444449,37.44649774,141.0,74.0,67.0,13.0,8.0,0.0,32.0,16.0,16.0,20.0,1.0,17.0,1984.85,0,5,5,1
648,ㅼㅤㄱㅝㅀ700392,127.1613784,37.45195569,320.0,165.0,155.0,18.0,13.0,0.0,104.0,60.0,44.0,48.0,1.0,41.0,1991.89,2,9,11,1
650,ㅼㅤㄱㅝㅀ702375,127.1637082,37.43663903,496.0,236.0,260.0,65.0,26.0,39.0,79.0,41.0,38.0,35.0,9.0,23.0,1993.34,1,14,15,1
654,ㅼㅤㄱㅝㅀ676374,127.1343229,37.4356504,292.0,121.0,171.0,9.0,0.0,8.0,48.0,26.0,22.0,42.0,2.0,34.0,1989.26,1,4,5,1
655,ㅼㅤㄱㅝㅀ695370,127.1558162,37.43210945,350.0,175.0,175.0,26.0,14.0,12.0,66.0,32.0,34.0,30.0,2.0,22.0,1985.9,0,13,13,1
669,ㅼㅤㄱㅝㅀ609293,127.0590175,37.36238206,102.0,46.0,56.0,8.0,0.0,7.0,18.0,10.0,8.0,11.0,7.0,3.0,2010.64,1,0,1,1
674,ㅼㅤㄱㅝㅀ677366,127.1354882,37.42844302,224.0,120.0,104.0,33.0,17.0,16.0,34.0,20.0,14.0,8.0,1.0,2.0,1996.63,0,2,2,1
675,ㅼㅤㄱㅝㅀ682387,127.141049,37.44738884,311.0,154.0,157.0,30.0,13.0,17.0,59.0,32.0,27.0,27.0,1.0,21.0,1988.37,1,14,15,1
677,ㅼㅤㄱㅝㅀ673366,127.1309672,37.428429,299.0,146.0,153.0,8.0,0.0,6.0,47.0,26.0,21.0,16.0,7.0,5.0,2002.94,1,4,5,1
680,ㅼㅤㄱㅝㅀ701397,127.1624887,37.45646571,290.0,153.0,137.0,15.0,7.0,8.0,77.0,45.0,32.0,28.0,8.0,11.0,1994.11,0,2,2,1
687,ㅼㅤㄱㅝㅀ700393,127.1613743,37.45285705,380.0,210.0,170.0,22.0,13.0,9.0,110.0,62.0,48.0,54.0,2.0,47.0,1990.98,0,17,17,1
692,ㅼㅤㄱㅝㅀ657292,127.1132262,37.36167036,223.0,121.0,102.0,20.0,9.0,11.0,25.0,17.0,8.0,12.0,1.0,11.0,1995.0,1,0,1,1
693,ㅼㅤㄱㅝㅀ690383,127.1501101,37.44381053,642.0,339.0,303.0,62.0,33.0,29.0,160.0,88.0,72.0,6.0,3.0,2.0,1993.5,0,4,4,1
701,ㅼㅤㄱㅝㅀ669379,127.126388,37.44013244,450.0,218.0,232.0,29.0,14.0,15.0,93.0,49.0,44.0,52.0,5.0,38.0,1992.57,2,10,12,1
703,ㅼㅤㄱㅝㅀ676389,127.1342571,37.44917076,529.0,235.0,294.0,19.0,8.0,11.0,107.0,56.0,51.0,103.0,1.0,97.0,1988.76,0,3,3,1
708,ㅼㅤㄱㅝㅀ675318,127.1334385,37.38517064,87.0,34.0,53.0,0.0,0.0,0.0,9.0,0.0,0.0,8.0,1.0,4.0,2003.75,0,6,6,1
715,ㅼㅤㄱㅝㅀ700375,127.1614474,37.43663258,469.0,233.0,236.0,35.0,20.0,15.0,96.0,59.0,37.0,50.0,10.0,36.0,1990.6,2,10,12,1
719,ㅼㅤㄱㅝㅀ676377,127.1343097,37.43835448,503.0,259.0,244.0,19.0,8.0,11.0,138.0,85.0,53.0,108.0,1.0,98.0,1989.59,1,20,21,1
726,ㅼㅤㄱㅝㅀ694381,127.1546403,37.44202111,381.0,171.0,210.0,18.0,11.0,7.0,107.0,56.0,51.0,75.0,2.0,62.0,1987.67,1,16,17,1
729,ㅼㅤㄱㅝㅀ671404,127.1285374,37.46267345,168.0,62.0,106.0,12.0,6.0,6.0,16.0,8.0,8.0,12.0,2.0,10.0,2006.17,0,0,0,0
731,ㅼㅤㄱㅝㅀ676371,127.134336,37.43294633,527.0,236.0,291.0,28.0,10.0,18.0,95.0,54.0,41.0,34.0,9.0,19.0,1993.44,0,8,8,1
732,ㅼㅤㄱㅝㅀ689368,127.1490428,37.43028679,252.0,124.0,128.0,10.0,0.0,0.0,77.0,44.0,33.0,35.0,2.0,25.0,1989.83,1,5,6,1
733,ㅼㅤㄱㅝㅀ707381,127.1693362,37.44206314,59.0,29.0,30.0,0.0,0.0,0.0,18.0,11.0,7.0,8.0,1.0,4.0,1991.0,1,2,3,1
734,ㅼㅤㄱㅝㅀ696372,127.1569383,37.43391546,163.0,79.0,84.0,7.0,6.0,0.0,33.0,21.0,12.0,61.0,1.0,59.0,1988.64,1,21,22,1
735,ㅼㅤㄱㅝㅀ675385,127.1331441,37.44556183,288.0,136.0,152.0,20.0,9.0,11.0,59.0,35.0,24.0,25.0,2.0,14.0,1988.29,0,4,4,1
736,ㅼㅤㄱㅝㅀ638338,127.0915457,37.4030609,155.0,75.0,80.0,21.0,7.0,14.0,30.0,11.0,19.0,7.0,6.0,1.0,2010.14,0,0,0,0
739,ㅼㅤㄱㅝㅀ701378,127.1625656,37.43933989,612.0,304.0,308.0,36.0,17.0,19.0,123.0,66.0,57.0,80.0,4.0,72.0,1988.71,1,10,11,1
746,ㅼㅤㄱㅝㅀ679386,127.1376618,37.44647714,564.0,299.0,265.0,39.0,19.0,20.0,103.0,64.0,39.0,39.0,10.0,26.0,1995.33,1,9,10,1
754,ㅼㅤㄱㅝㅀ649395,127.1037035,37.45448047,99.0,45.0,54.0,8.0,0.0,6.0,18.0,7.0,11.0,9.0,1.0,7.0,2007.89,0,4,4,1
759,ㅼㅤㄱㅝㅀ666379,127.1229967,37.44012168,32.0,17.0,15.0,0.0,0.0,0.0,7.0,0.0,0.0,6.0,2.0,1.0,1988.67,0,2,2,1
760,ㅼㅤㄱㅝㅀ687367,127.1467864,37.4293787,225.0,113.0,112.0,9.0,7.0,0.0,49.0,26.0,23.0,23.0,4.0,17.0,1990.77,1,8,9,1
761,ㅼㅤㄱㅝㅀ676376,127.1343141,37.43745312,533.0,263.0,270.0,21.0,8.0,13.0,139.0,83.0,56.0,95.0,3.0,91.0,1990.35,1,11,12,1
784,ㅼㅤㄱㅝㅀ607326,127.0565839,37.39211845,83.0,41.0,42.0,0.0,0.0,0.0,25.0,11.0,14.0,7.0,4.0,1.0,2008.0,0,4,4,1
793,ㅼㅤㄱㅝㅀ707396,127.1692767,37.45558353,108.0,56.0,52.0,7.0,0.0,0.0,19.0,12.0,7.0,8.0,7.0,1.0,1993.25,0,1,1,1
797,ㅼㅤㄱㅝㅀ686388,127.1455669,37.44830385,195.0,103.0,92.0,25.0,18.0,7.0,21.0,12.0,9.0,5.0,1.0,2.0,1996.4,0,5,5,1
803,ㅼㅤㄱㅝㅀ681377,127.1399617,37.43837183,319.0,157.0,162.0,26.0,14.0,12.0,76.0,39.0,37.0,42.0,2.0,29.0,1988.88,0,8,8,1
804,ㅼㅤㄱㅝㅀ669353,127.1265044,37.41669713,198.0,106.0,92.0,22.0,10.0,12.0,26.0,16.0,10.0,4.0,1.0,2.0,2007.0,0,0,0,0
