gid,year,cctv,light,log_pa,ep,fp,yp,log_nb
木夭丑友什62ba33aa,-0.666666667,1.5,1.5,2.666840349,-0.225733634,-0.255438596,-0.230769231,-0.726272363
木夭丑友什62ba34ba,-0.2,-0.5,-0.5,1.310749382,-0.343115124,-0.341052632,-0.323076923,-1.270062195
木夭丑友什62ba35ab,-0.8,-0.5,-0.5,1.238208549,-0.279909707,-0.286315789,-0.323076923,0
木夭丑友什62ba35ba,0.133333333,0,0,1.238208549,-0.270880361,-0.311578947,-0.323076923,0.096449891
木夭丑友什62ba35bb,-0.533333333,-0.5,-0.5,1.238208549,-0.343115124,-0.341052632,-0.323076923,-1.029431361
木夭丑友什62bb28aa,1,-0.5,-0.5,0.665083674,-0.306997743,-0.321403509,-0.323076923,-0.206709106
木夭丑友什62bb28ab,0.866666667,-0.5,-0.5,0.633320342,-0.343115124,-0.341052632,-0.323076923,-1.029431361
木夭丑友什62bb28bb,-0.266666667,0,0,0.803036744,-0.343115124,-0.33122807,-0.323076923,-0.44733994
木夭丑友什62bb29aa,-0.333333333,-0.5,-0.5,0.803036744,-0.306997743,-0.324210526,-0.323076923,-0.726272363
木夭丑友什62bb31ba,-0.733333333,-0.5,-0.5,0.881831496,-0.343115124,-0.33122807,-0.323076923,-1.029431361
木夭丑友什62bb32aa,-0.8,0,0,-0.304614457,-0.343115124,-0.341052632,-0.323076923,-0.858701067
木夭丑友什62bb32ab,-0.8,1.5,1.5,-0.304614457,-0.189616253,-0.056140351,0.061538462,0.888731183
木夭丑友什62bb32ba,-0.866666667,2.5,2.5,-1.816066619,-0.162528217,-0.095438596,-0.007692308,0.856643982
木夭丑友什62bb32bb,-1.133333333,1.5,1.5,-1.17552663,-0.270880361,-0.258245614,-0.261538462,0.411361127
木夭丑友什62bb33aa,-0.666666667,-0.5,-0.5,1.347598866,-0.306997743,-0.314385965,-0.323076923,0.033921727
木夭丑友什62bb34aa,-0.333333333,-0.5,-0.5,1.042656606,-0.343115124,-0.341052632,-0.323076923,-0.726272363
木夭丑友什62bb34ab,-0.6,-0.5,-0.5,1.042656606,-0.343115124,-0.341052632,-0.323076923,-1.270062195
